date,from,to,actual,they
2017-01-01 00:00:00,2017-01-01 00:00:00,2017-01-01 00:15:00,16759.0,17013.0
2017-01-01 00:00:00,2017-01-01 00:15:00,2017-01-01 00:30:00,16746.0,16764.0
2017-01-01 00:00:00,2017-01-01 00:30:00,2017-01-01 00:45:00,16821.0,16634.0
2017-01-01 00:00:00,2017-01-01 00:45:00,2017-01-01 01:00:00,16646.0,16543.0
2017-01-01 00:00:00,2017-01-01 01:00:00,2017-01-01 01:15:00,16526.0,16336.0
2017-01-01 00:00:00,2017-01-01 01:15:00,2017-01-01 01:30:00,16401.0,16199.0
2017-01-01 00:00:00,2017-01-01 01:30:00,2017-01-01 01:45:00,16294.0,16060.0
2017-01-01 00:00:00,2017-01-01 01:45:00,2017-01-01 02:00:00,16291.0,15978.0
2017-01-01 00:00:00,2017-01-01 02:00:00,2017-01-01 02:15:00,16146.0,15895.0
2017-01-01 00:00:00,2017-01-01 02:15:00,2017-01-01 02:30:00,16226.0,15867.0
2017-01-01 00:00:00,2017-01-01 02:30:00,2017-01-01 02:45:00,16139.0,15782.0
2017-01-01 00:00:00,2017-01-01 02:45:00,2017-01-01 03:00:00,16045.0,15684.0
2017-01-01 00:00:00,2017-01-01 03:00:00,2017-01-01 03:15:00,15852.0,15685.0
2017-01-01 00:00:00,2017-01-01 03:15:00,2017-01-01 03:30:00,15838.0,15652.0
2017-01-01 00:00:00,2017-01-01 03:30:00,2017-01-01 03:45:00,15918.0,15545.0
2017-01-01 00:00:00,2017-01-01 03:45:00,2017-01-01 04:00:00,15920.0,15493.0
2017-01-01 00:00:00,2017-01-01 04:00:00,2017-01-01 04:15:00,15891.0,15457.0
2017-01-01 00:00:00,2017-01-01 04:15:00,2017-01-01 04:30:00,15746.0,15398.0
2017-01-01 00:00:00,2017-01-01 04:30:00,2017-01-01 04:45:00,15563.0,15342.0
2017-01-01 00:00:00,2017-01-01 04:45:00,2017-01-01 05:00:00,15379.0,15263.0
2017-01-01 00:00:00,2017-01-01 05:00:00,2017-01-01 05:15:00,15149.0,15193.0
2017-01-01 00:00:00,2017-01-01 05:15:00,2017-01-01 05:30:00,15098.0,15106.0
2017-01-01 00:00:00,2017-01-01 05:30:00,2017-01-01 05:45:00,14859.0,14948.0
2017-01-01 00:00:00,2017-01-01 05:45:00,2017-01-01 06:00:00,15032.0,14794.0
2017-01-01 00:00:00,2017-01-01 06:00:00,2017-01-01 06:15:00,14774.0,14440.0
2017-01-01 00:00:00,2017-01-01 06:15:00,2017-01-01 06:30:00,14832.0,14294.0
2017-01-01 00:00:00,2017-01-01 06:30:00,2017-01-01 06:45:00,14786.0,14285.0
2017-01-01 00:00:00,2017-01-01 06:45:00,2017-01-01 07:00:00,14696.0,14221.0
