date,from,to,actual,they
2017-01-01 00:00:00,2017-01-01 00:00:00,2017-01-01 00:15:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 00:15:00,2017-01-01 00:30:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 00:30:00,2017-01-01 00:45:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 00:45:00,2017-01-01 01:00:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 01:00:00,2017-01-01 01:15:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 01:15:00,2017-01-01 01:30:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 01:30:00,2017-01-01 01:45:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 01:45:00,2017-01-01 02:00:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 02:00:00,2017-01-01 02:15:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 02:15:00,2017-01-01 02:30:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 02:30:00,2017-01-01 02:45:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 02:45:00,2017-01-01 03:00:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 03:00:00,2017-01-01 03:15:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 03:15:00,2017-01-01 03:30:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 03:30:00,2017-01-01 03:45:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 03:45:00,2017-01-01 04:00:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 04:00:00,2017-01-01 04:15:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 04:15:00,2017-01-01 04:30:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 04:30:00,2017-01-01 04:45:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 04:45:00,2017-01-01 05:00:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 05:00:00,2017-01-01 05:15:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 05:15:00,2017-01-01 05:30:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 05:30:00,2017-01-01 05:45:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 05:45:00,2017-01-01 06:00:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 06:00:00,2017-01-01 06:15:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 06:15:00,2017-01-01 06:30:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 06:30:00,2017-01-01 06:45:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 06:45:00,2017-01-01 07:00:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 07:00:00,2017-01-01 07:15:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 07:15:00,2017-01-01 07:30:00,0.0,0.0
2017-01-01 00:00:00,2017-01-01 07:30:00,2017-01-01 07:45:00,0.0,1.0
2017-01-01 00:00:00,2017-01-01 07:45:00,2017-01-01 08:00:00,0.0,1.0
2017-01-01 00:00:00,2017-01-01 08:00:00,2017-01-01 08:15:00,0.74,4.0
2017-01-01 00:00:00,2017-01-01 08:15:00,2017-01-01 08:30:00,12.84,16.0
2017-01-01 00:00:00,2017-01-01 08:30:00,2017-01-01 08:45:00,46.85,67.0
2017-01-01 00:00:00,2017-01-01 08:45:00,2017-01-01 09:00:00,133.5,139.0
2017-01-01 00:00:00,2017-01-01 09:00:00,2017-01-01 09:15:00,243.68,229.0
