"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(50Hertz)","Actual Total Load [MW] - CTA|DE(50Hertz)"
"01.01.2015 00:00 - 01.01.2015 00:15","7417","7412"
"01.01.2015 00:15 - 01.01.2015 00:30","7354","7305"
"01.01.2015 00:30 - 01.01.2015 00:45","7258","7263"
"01.01.2015 00:45 - 01.01.2015 01:00","7192","7104"
"01.01.2015 01:00 - 01.01.2015 01:15","7154","6959"
"01.01.2015 01:15 - 01.01.2015 01:30","7091","6845"
"01.01.2015 01:30 - 01.01.2015 01:45","7026","6834"
"01.01.2015 01:45 - 01.01.2015 02:00","7001","6839"
"01.01.2015 02:00 - 01.01.2015 02:15","7011","6873"
"01.01.2015 02:15 - 01.01.2015 02:30","7004","6943"
"01.01.2015 02:30 - 01.01.2015 02:45","7023","6991"
"01.01.2015 02:45 - 01.01.2015 03:00","7122","7012"
"01.01.2015 03:00 - 01.01.2015 03:15","7190","7111"
"01.01.2015 03:15 - 01.01.2015 03:30","7207","7128"
"01.01.2015 03:30 - 01.01.2015 03:45","7278","7044"
"01.01.2015 03:45 - 01.01.2015 04:00","7378","7092"
"01.01.2015 04:00 - 01.01.2015 04:15","7453","7206"
"01.01.2015 04:15 - 01.01.2015 04:30","7535","7340"
"01.01.2015 04:30 - 01.01.2015 04:45","7635","7404"
"01.01.2015 04:45 - 01.01.2015 05:00","7779","7508"
"01.01.2015 05:00 - 01.01.2015 05:15","7930","7789"
"01.01.2015 05:15 - 01.01.2015 05:30","8077","7977"
"01.01.2015 05:30 - 01.01.2015 05:45","8238","8018"
"01.01.2015 05:45 - 01.01.2015 06:00","8498","8185"
"01.01.2015 06:00 - 01.01.2015 06:15","8002","8563"
"01.01.2015 06:15 - 01.01.2015 06:30","7585","8928"
"01.01.2015 06:30 - 01.01.2015 06:45","8024","9312"
"01.01.2015 06:45 - 01.01.2015 07:00","8359","9615"
"01.01.2015 07:00 - 01.01.2015 07:15","9416","9891"
"01.01.2015 07:15 - 01.01.2015 07:30","10392","10183"
"01.01.2015 07:30 - 01.01.2015 07:45","10513","10335"
"01.01.2015 07:45 - 01.01.2015 08:00","10587","10460"
"01.01.2015 08:00 - 01.01.2015 08:15","10632","10627"
"01.01.2015 08:15 - 01.01.2015 08:30","10630","10715"
"01.01.2015 08:30 - 01.01.2015 08:45","10625","10709"
"01.01.2015 08:45 - 01.01.2015 09:00","10632","10690"
"01.01.2015 09:00 - 01.01.2015 09:15","10645","10664"
"01.01.2015 09:15 - 01.01.2015 09:30","10688","10630"
"01.01.2015 09:30 - 01.01.2015 09:45","10732","10609"
"01.01.2015 09:45 - 01.01.2015 10:00","10753","10578"
"01.01.2015 10:00 - 01.01.2015 10:15","10789","10614"
"01.01.2015 10:15 - 01.01.2015 10:30","10850","10711"
"01.01.2015 10:30 - 01.01.2015 10:45","10900","10786"
"01.01.2015 10:45 - 01.01.2015 11:00","10972","10872"
"01.01.2015 11:00 - 01.01.2015 11:15","11008","10936"
"01.01.2015 11:15 - 01.01.2015 11:30","10991","10942"
"01.01.2015 11:30 - 01.01.2015 11:45","10998","10830"
"01.01.2015 11:45 - 01.01.2015 12:00","10915","10718"
"01.01.2015 12:00 - 01.01.2015 12:15","10697","10668"
"01.01.2015 12:15 - 01.01.2015 12:30","10646","10629"
"01.01.2015 12:30 - 01.01.2015 12:45","10689","10634"
"01.01.2015 12:45 - 01.01.2015 13:00","9776","10611"
"01.01.2015 13:00 - 01.01.2015 13:15","8834","10486"
"01.01.2015 13:15 - 01.01.2015 13:30","8693","10257"
"01.01.2015 13:30 - 01.01.2015 13:45","9514","10085"
"01.01.2015 13:45 - 01.01.2015 14:00","9510","9957"
"01.01.2015 14:00 - 01.01.2015 14:15","8588","9926"
"01.01.2015 14:15 - 01.01.2015 14:30","9345","10020"
"01.01.2015 14:30 - 01.01.2015 14:45","10029","10002"
"01.01.2015 14:45 - 01.01.2015 15:00","9996","10102"
"01.01.2015 15:00 - 01.01.2015 15:15","10117","10193"
"01.01.2015 15:15 - 01.01.2015 15:30","10145","10192"
"01.01.2015 15:30 - 01.01.2015 15:45","10072","10440"
"01.01.2015 15:45 - 01.01.2015 16:00","10088","10669"
"01.01.2015 16:00 - 01.01.2015 16:15","10140","10641"
"01.01.2015 16:15 - 01.01.2015 16:30","10156","10623"
"01.01.2015 16:30 - 01.01.2015 16:45","10255","10704"
"01.01.2015 16:45 - 01.01.2015 17:00","10379","10719"
"01.01.2015 17:00 - 01.01.2015 17:15","10446","10850"
"01.01.2015 17:15 - 01.01.2015 17:30","10508","11041"
"01.01.2015 17:30 - 01.01.2015 17:45","10583","10990"
"01.01.2015 17:45 - 01.01.2015 18:00","10590","10867"
"01.01.2015 18:00 - 01.01.2015 18:15","10557","10800"
"01.01.2015 18:15 - 01.01.2015 18:30","10593","10687"
"01.01.2015 18:30 - 01.01.2015 18:45","10652","10574"
"01.01.2015 18:45 - 01.01.2015 19:00","10688","10658"
"01.01.2015 19:00 - 01.01.2015 19:15","10637","10814"
"01.01.2015 19:15 - 01.01.2015 19:30","10578","10798"
"01.01.2015 19:30 - 01.01.2015 19:45","10519","10425"
"01.01.2015 19:45 - 01.01.2015 20:00","10355","10006"
"01.01.2015 20:00 - 01.01.2015 20:15","10115","9834"
"01.01.2015 20:15 - 01.01.2015 20:30","9878","9676"
"01.01.2015 20:30 - 01.01.2015 20:45","9634","9489"
"01.01.2015 20:45 - 01.01.2015 21:00","9405","9136"
"01.01.2015 21:00 - 01.01.2015 21:15","9259","8906"
"01.01.2015 21:15 - 01.01.2015 21:30","9119","8911"
"01.01.2015 21:30 - 01.01.2015 21:45","7878","8743"
"01.01.2015 21:45 - 01.01.2015 22:00","7839","8725"
"01.01.2015 22:00 - 01.01.2015 22:15","7726","8870"
"01.01.2015 22:15 - 01.01.2015 22:30","7564","8676"
"01.01.2015 22:30 - 01.01.2015 22:45","8510","8419"
"01.01.2015 22:45 - 01.01.2015 23:00","8279","8268"
"01.01.2015 23:00 - 01.01.2015 23:15","8084","8106"
"01.01.2015 23:15 - 01.01.2015 23:30","7900","7898"
"01.01.2015 23:30 - 01.01.2015 23:45","6708","7505"
"01.01.2015 23:45 - 02.01.2015 00:00","6176","7231"
"02.01.2015 00:00 - 02.01.2015 00:15","4900","7068"
"02.01.2015 00:15 - 02.01.2015 00:30","4798","6928"
"02.01.2015 00:30 - 02.01.2015 00:45","6522","6919"
"02.01.2015 00:45 - 02.01.2015 01:00","6478","6874"
"02.01.2015 01:00 - 02.01.2015 01:15","6452","6751"
"02.01.2015 01:15 - 02.01.2015 01:30","6434","6635"
"02.01.2015 01:30 - 02.01.2015 01:45","6402","6553"
"02.01.2015 01:45 - 02.01.2015 02:00","6387","6568"
"02.01.2015 02:00 - 02.01.2015 02:15","6396","6657"
"02.01.2015 02:15 - 02.01.2015 02:30","6421","6687"
"02.01.2015 02:30 - 02.01.2015 02:45","6479","6708"
"02.01.2015 02:45 - 02.01.2015 03:00","6568","6703"
"02.01.2015 03:00 - 02.01.2015 03:15","6662","6735"
