"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(Amprion)","Actual Total Load [MW] - CTA|DE(Amprion)"
"01.01.2017 00:00 - 01.01.2017 00:15","17013","16759"
"01.01.2017 00:15 - 01.01.2017 00:30","16764","16746"
"01.01.2017 00:30 - 01.01.2017 00:45","16634","16821"
"01.01.2017 00:45 - 01.01.2017 01:00","16543","16646"
"01.01.2017 01:00 - 01.01.2017 01:15","16336","16526"
"01.01.2017 01:15 - 01.01.2017 01:30","16199","16401"
"01.01.2017 01:30 - 01.01.2017 01:45","16060","16294"
"01.01.2017 01:45 - 01.01.2017 02:00","15978","16291"
"01.01.2017 02:00 - 01.01.2017 02:15","15895","16146"
"01.01.2017 02:15 - 01.01.2017 02:30","15867","16226"
"01.01.2017 02:30 - 01.01.2017 02:45","15782","16139"
"01.01.2017 02:45 - 01.01.2017 03:00","15684","16045"
"01.01.2017 03:00 - 01.01.2017 03:15","15685","15852"
"01.01.2017 03:15 - 01.01.2017 03:30","15652","15838"
"01.01.2017 03:30 - 01.01.2017 03:45","15545","15918"
"01.01.2017 03:45 - 01.01.2017 04:00","15493","15920"
"01.01.2017 04:00 - 01.01.2017 04:15","15457","15891"
"01.01.2017 04:15 - 01.01.2017 04:30","15398","15746"
"01.01.2017 04:30 - 01.01.2017 04:45","15342","15563"
"01.01.2017 04:45 - 01.01.2017 05:00","15263","15379"
"01.01.2017 05:00 - 01.01.2017 05:15","15193","15149"
"01.01.2017 05:15 - 01.01.2017 05:30","15106","15098"
"01.01.2017 05:30 - 01.01.2017 05:45","14948","14859"
"01.01.2017 05:45 - 01.01.2017 06:00","14794","15032"
"01.01.2017 06:00 - 01.01.2017 06:15","14440","14774"
"01.01.2017 06:15 - 01.01.2017 06:30","14294","14832"
"01.01.2017 06:30 - 01.01.2017 06:45","14285","14786"
"01.01.2017 06:45 - 01.01.2017 07:00","14221","14696"
"01.01.2017 07:00 - 01.01.2017 07:15","14237","14639"
"01.01.2017 07:15 - 01.01.2017 07:30","14353","14626"
"01.01.2017 07:30 - 01.01.2017 07:45","14573","14602"
"01.01.2017 07:45 - 01.01.2017 08:00","14816","14737"
"01.01.2017 08:00 - 01.01.2017 08:15","15134","14909"
"01.01.2017 08:15 - 01.01.2017 08:30","15389","14840"
"01.01.2017 08:30 - 01.01.2017 08:45","15663","15005"
"01.01.2017 08:45 - 01.01.2017 09:00","15986","15233"
"01.01.2017 09:00 - 01.01.2017 09:15","16416","15702"
"01.01.2017 09:15 - 01.01.2017 09:30","16693","15963"
"01.01.2017 09:30 - 01.01.2017 09:45","16985","16299"
"01.01.2017 09:45 - 01.01.2017 10:00","17270","16518"
"01.01.2017 10:00 - 01.01.2017 10:15","17535","16816"
"01.01.2017 10:15 - 01.01.2017 10:30","17772","17103"
