"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TenneT GER)","Actual Total Load [MW] - CTA|DE(TenneT GER)"
"01.01.2017 00:00 - 01.01.2017 00:15","11971","14602"
"01.01.2017 00:15 - 01.01.2017 00:30","12180","14587"
"01.01.2017 00:30 - 01.01.2017 00:45","12019","14487"
"01.01.2017 00:45 - 01.01.2017 01:00","11884","14404"
"01.01.2017 01:00 - 01.01.2017 01:15","11717","14092"
"01.01.2017 01:15 - 01.01.2017 01:30","11556","13894"
"01.01.2017 01:30 - 01.01.2017 01:45","11669","13740"
"01.01.2017 01:45 - 01.01.2017 02:00","11563","13571"
"01.01.2017 02:00 - 01.01.2017 02:15","11374","13479"
"01.01.2017 02:15 - 01.01.2017 02:30","11483","13310"
"01.01.2017 02:30 - 01.01.2017 02:45","11416","13121"
"01.01.2017 02:45 - 01.01.2017 03:00","11212","12969"
"01.01.2017 03:00 - 01.01.2017 03:15","11223","12703"
"01.01.2017 03:15 - 01.01.2017 03:30","11375","12595"
"01.01.2017 03:30 - 01.01.2017 03:45","11507","12529"
"01.01.2017 03:45 - 01.01.2017 04:00","11385","12371"
"01.01.2017 04:00 - 01.01.2017 04:15","11505","12390"
"01.01.2017 04:15 - 01.01.2017 04:30","11691","12321"
"01.01.2017 04:30 - 01.01.2017 04:45","11314","12324"
"01.01.2017 04:45 - 01.01.2017 05:00","11565","12123"
"01.01.2017 05:00 - 01.01.2017 05:15","11842","12142"
"01.01.2017 05:15 - 01.01.2017 05:30","11544","12075"
"01.01.2017 05:30 - 01.01.2017 05:45","11654","12184"
"01.01.2017 05:45 - 01.01.2017 06:00","11461","12229"
"01.01.2017 06:00 - 01.01.2017 06:15","12049","11593"
"01.01.2017 06:15 - 01.01.2017 06:30","11782","12234"
"01.01.2017 06:30 - 01.01.2017 06:45","11896","12349"
"01.01.2017 06:45 - 01.01.2017 07:00","11097","12420"
"01.01.2017 07:00 - 01.01.2017 07:15","12647","12508"
"01.01.2017 07:15 - 01.01.2017 07:30","13001","12670"
"01.01.2017 07:30 - 01.01.2017 07:45","12360","12687"
"01.01.2017 07:45 - 01.01.2017 08:00","12223","12454"
"01.01.2017 08:00 - 01.01.2017 08:15","13262","12529"
"01.01.2017 08:15 - 01.01.2017 08:30","13356","12497"
"01.01.2017 08:30 - 01.01.2017 08:45","12943","12580"
"01.01.2017 08:45 - 01.01.2017 09:00","13367","12812"
"01.01.2017 09:00 - 01.01.2017 09:15","13870","13021"
"01.01.2017 09:15 - 01.01.2017 09:30","13682","13358"
"01.01.2017 09:30 - 01.01.2017 09:45","14016","13498"
"01.01.2017 09:45 - 01.01.2017 10:00","14409","13796"
"01.01.2017 10:00 - 01.01.2017 10:15","14165","14237"
"01.01.2017 10:15 - 01.01.2017 10:30","15428","14414"
"01.01.2017 10:30 - 01.01.2017 10:45","14958","14632"
"01.01.2017 10:45 - 01.01.2017 11:00","15769","14891"
"01.01.2017 11:00 - 01.01.2017 11:15","15540","15189"
"01.01.2017 11:15 - 01.01.2017 11:30","15638","15417"
"01.01.2017 11:30 - 01.01.2017 11:45","15581","15594"
"01.01.2017 11:45 - 01.01.2017 12:00","15562","15621"
"01.01.2017 12:00 - 01.01.2017 12:15","16019","15611"
"01.01.2017 12:15 - 01.01.2017 12:30","15593","15653"
"01.01.2017 12:30 - 01.01.2017 12:45","15682","15930"
"01.01.2017 12:45 - 01.01.2017 13:00","15337","15194"
"01.01.2017 13:00 - 01.01.2017 13:15","15337","14988"
"01.01.2017 13:15 - 01.01.2017 13:30","15042","15072"
"01.01.2017 13:30 - 01.01.2017 13:45","14705","14960"
"01.01.2017 13:45 - 01.01.2017 14:00","14928","14760"
"01.01.2017 14:00 - 01.01.2017 14:15","14683","14745"
