"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.09.2010;00:00;01.09.2010;00:15;;5827
01.09.2010;00:15;01.09.2010;00:30;;5584
01.09.2010;00:30;01.09.2010;00:45;;5582
01.09.2010;00:45;01.09.2010;01:00;;5495
01.09.2010;01:00;01.09.2010;01:15;;5393
01.09.2010;01:15;01.09.2010;01:30;;5398
01.09.2010;01:30;01.09.2010;01:45;;5354
01.09.2010;01:45;01.09.2010;02:00;;5305
01.09.2010;02:00;01.09.2010;02:15;;5229
01.09.2010;02:15;01.09.2010;02:30;;5197
01.09.2010;02:30;01.09.2010;02:45;;5156
01.09.2010;02:45;01.09.2010;03:00;;5154
01.09.2010;03:00;01.09.2010;03:15;;5186
01.09.2010;03:15;01.09.2010;03:30;;5196
01.09.2010;03:30;01.09.2010;03:45;;5208
01.09.2010;03:45;01.09.2010;04:00;;5207
01.09.2010;04:00;01.09.2010;04:15;;5401
01.09.2010;04:15;01.09.2010;04:30;;5431
01.09.2010;04:30;01.09.2010;04:45;;5298
01.09.2010;04:45;01.09.2010;05:00;;5351
01.09.2010;05:00;01.09.2010;05:15;;5604
01.09.2010;05:15;01.09.2010;05:30;;5789
01.09.2010;05:30;01.09.2010;05:45;;5870
01.09.2010;05:45;01.09.2010;06:00;;6254
01.09.2010;06:00;01.09.2010;06:15;;6566
01.09.2010;06:15;01.09.2010;06:30;;6779
01.09.2010;06:30;01.09.2010;06:45;;6920
01.09.2010;06:45;01.09.2010;07:00;;7090
01.09.2010;07:00;01.09.2010;07:15;;7386
01.09.2010;07:15;01.09.2010;07:30;;7550
01.09.2010;07:30;01.09.2010;07:45;;7688
01.09.2010;07:45;01.09.2010;08:00;;7698
01.09.2010;08:00;01.09.2010;08:15;;7722
01.09.2010;08:15;01.09.2010;08:30;;7676
01.09.2010;08:30;01.09.2010;08:45;;7662
01.09.2010;08:45;01.09.2010;09:00;;7530
01.09.2010;09:00;01.09.2010;09:15;;7372
01.09.2010;09:15;01.09.2010;09:30;;7364
01.09.2010;09:30;01.09.2010;09:45;;7367
01.09.2010;09:45;01.09.2010;10:00;;7322
01.09.2010;10:00;01.09.2010;10:15;;7255
01.09.2010;10:15;01.09.2010;10:30;;7211
01.09.2010;10:30;01.09.2010;10:45;;7177
01.09.2010;10:45;01.09.2010;11:00;;7149
01.09.2010;11:00;01.09.2010;11:15;;7233
01.09.2010;11:15;01.09.2010;11:30;;7287
01.09.2010;11:30;01.09.2010;11:45;;7325
01.09.2010;11:45;01.09.2010;12:00;;7294
01.09.2010;12:00;01.09.2010;12:15;;7136
01.09.2010;12:15;01.09.2010;12:30;;6967
01.09.2010;12:30;01.09.2010;12:45;;6959
01.09.2010;12:45;01.09.2010;13:00;;6988
01.09.2010;13:00;01.09.2010;13:15;;7051
01.09.2010;13:15;01.09.2010;13:30;;7078
01.09.2010;13:30;01.09.2010;13:45;;7103
01.09.2010;13:45;01.09.2010;14:00;;7052
01.09.2010;14:00;01.09.2010;14:15;;7026
01.09.2010;14:15;01.09.2010;14:30;;7060
01.09.2010;14:30;01.09.2010;14:45;;7072
01.09.2010;14:45;01.09.2010;15:00;;7048
01.09.2010;15:00;01.09.2010;15:15;;7077
01.09.2010;15:15;01.09.2010;15:30;;7043
01.09.2010;15:30;01.09.2010;15:45;;7018
