"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TransnetBW)","Actual Total Load [MW] - CTA|DE(TransnetBW)"
"01.01.2017 00:00 - 01.01.2017 00:15","4966","6016"
"01.01.2017 00:15 - 01.01.2017 00:30","4727","5979"
"01.01.2017 00:30 - 01.01.2017 00:45","4393","5874"
"01.01.2017 00:45 - 01.01.2017 01:00","4383","5944"
"01.01.2017 01:00 - 01.01.2017 01:15","4299","5862"
"01.01.2017 01:15 - 01.01.2017 01:30","4224","5788"
"01.01.2017 01:30 - 01.01.2017 01:45","4161","5778"
"01.01.2017 01:45 - 01.01.2017 02:00","3990","5731"
"01.01.2017 02:00 - 01.01.2017 02:15","4017","5763"
"01.01.2017 02:15 - 01.01.2017 02:30","3981","5627"
"01.01.2017 02:30 - 01.01.2017 02:45","3955","5522"
"01.01.2017 02:45 - 01.01.2017 03:00","3841","5451"
"01.01.2017 03:00 - 01.01.2017 03:15","3847","5406"
"01.01.2017 03:15 - 01.01.2017 03:30","3918","5299"
"01.01.2017 03:30 - 01.01.2017 03:45","3955","5264"
"01.01.2017 03:45 - 01.01.2017 04:00","4152","5316"
"01.01.2017 04:00 - 01.01.2017 04:15","4176","5244"
"01.01.2017 04:15 - 01.01.2017 04:30","4048","5202"
"01.01.2017 04:30 - 01.01.2017 04:45","4081","5162"
"01.01.2017 04:45 - 01.01.2017 05:00","4229","5226"
"01.01.2017 05:00 - 01.01.2017 05:15","4207","5179"
"01.01.2017 05:15 - 01.01.2017 05:30","4096","5070"
"01.01.2017 05:30 - 01.01.2017 05:45","4081","5013"
"01.01.2017 05:45 - 01.01.2017 06:00","4003","4911"
"01.01.2017 06:00 - 01.01.2017 06:15","3739","4668"
"01.01.2017 06:15 - 01.01.2017 06:30","3801","4588"
"01.01.2017 06:30 - 01.01.2017 06:45","3858","4547"
"01.01.2017 06:45 - 01.01.2017 07:00","4050","4569"
"01.01.2017 07:00 - 01.01.2017 07:15","4181","4650"
"01.01.2017 07:15 - 01.01.2017 07:30","4130","4706"
"01.01.2017 07:30 - 01.01.2017 07:45","4247","4666"
"01.01.2017 07:45 - 01.01.2017 08:00","4353","4609"
"01.01.2017 08:00 - 01.01.2017 08:15","4418","4636"
"01.01.2017 08:15 - 01.01.2017 08:30","4520","4569"
"01.01.2017 08:30 - 01.01.2017 08:45","4594","4595"
"01.01.2017 08:45 - 01.01.2017 09:00","4663","4573"
"01.01.2017 09:00 - 01.01.2017 09:15","4791","4606"
"01.01.2017 09:15 - 01.01.2017 09:30","5018","4863"
"01.01.2017 09:30 - 01.01.2017 09:45","5092","4890"
"01.01.2017 09:45 - 01.01.2017 10:00","5157","4983"
"01.01.2017 10:00 - 01.01.2017 10:15","5188","5028"
"01.01.2017 10:15 - 01.01.2017 10:30","5276","5062"
"01.01.2017 10:30 - 01.01.2017 10:45","5312","5034"
"01.01.2017 10:45 - 01.01.2017 11:00","5312","5013"
"01.01.2017 11:00 - 01.01.2017 11:15","5236","5018"
"01.01.2017 11:15 - 01.01.2017 11:30","5337","5035"
"01.01.2017 11:30 - 01.01.2017 11:45","5515","5062"
"01.01.2017 11:45 - 01.01.2017 12:00","5674","5119"
"01.01.2017 12:00 - 01.01.2017 12:15","5595","5170"
"01.01.2017 12:15 - 01.01.2017 12:30","5682","5369"
"01.01.2017 12:30 - 01.01.2017 12:45","5614","5457"
