,date,from,to,load,pv
0,2017-01-02 00:00:00,2017-01-02 00:00:00,2017-01-02 00:15:00,17034.0,0.0
1,2017-01-02 00:00:00,2017-01-02 00:15:00,2017-01-02 00:30:00,16936.0,0.0
2,2017-01-02 00:00:00,2017-01-02 00:30:00,2017-01-02 00:45:00,16927.0,0.0
3,2017-01-02 00:00:00,2017-01-02 00:45:00,2017-01-02 01:00:00,16657.0,0.0
4,2017-01-02 00:00:00,2017-01-02 01:00:00,2017-01-02 01:15:00,16354.0,0.0
5,2017-01-02 00:00:00,2017-01-02 01:15:00,2017-01-02 01:30:00,16282.0,0.0
6,2017-01-02 00:00:00,2017-01-02 01:30:00,2017-01-02 01:45:00,16135.0,0.0
7,2017-01-02 00:00:00,2017-01-02 01:45:00,2017-01-02 02:00:00,15920.0,0.0
8,2017-01-02 00:00:00,2017-01-02 02:00:00,2017-01-02 02:15:00,15743.0,0.0
9,2017-01-02 00:00:00,2017-01-02 02:15:00,2017-01-02 02:30:00,15775.0,0.0
10,2017-01-02 00:00:00,2017-01-02 02:30:00,2017-01-02 02:45:00,15788.0,0.0
11,2017-01-02 00:00:00,2017-01-02 02:45:00,2017-01-02 03:00:00,15805.0,0.0
12,2017-01-02 00:00:00,2017-01-02 03:00:00,2017-01-02 03:15:00,15837.0,0.0
13,2017-01-02 00:00:00,2017-01-02 03:15:00,2017-01-02 03:30:00,15827.0,0.0
14,2017-01-02 00:00:00,2017-01-02 03:30:00,2017-01-02 03:45:00,16403.0,0.0
15,2017-01-02 00:00:00,2017-01-02 03:45:00,2017-01-02 04:00:00,16533.0,0.0
16,2017-01-02 00:00:00,2017-01-02 04:00:00,2017-01-02 04:15:00,16606.0,0.0
17,2017-01-02 00:00:00,2017-01-02 04:15:00,2017-01-02 04:30:00,16966.0,0.0
18,2017-01-02 00:00:00,2017-01-02 04:30:00,2017-01-02 04:45:00,17078.0,0.0
19,2017-01-02 00:00:00,2017-01-02 04:45:00,2017-01-02 05:00:00,17014.0,0.0
20,2017-01-02 00:00:00,2017-01-02 05:00:00,2017-01-02 05:15:00,17355.0,0.0
21,2017-01-02 00:00:00,2017-01-02 05:15:00,2017-01-02 05:30:00,17605.0,0.0
22,2017-01-02 00:00:00,2017-01-02 05:30:00,2017-01-02 05:45:00,17804.0,0.0
23,2017-01-02 00:00:00,2017-01-02 05:45:00,2017-01-02 06:00:00,18306.0,0.0
24,2017-01-02 00:00:00,2017-01-02 06:00:00,2017-01-02 06:15:00,19201.0,0.0
25,2017-01-02 00:00:00,2017-01-02 06:15:00,2017-01-02 06:30:00,19727.0,0.0
26,2017-01-02 00:00:00,2017-01-02 06:30:00,2017-01-02 06:45:00,20380.0,0.0
27,2017-01-02 00:00:00,2017-01-02 06:45:00,2017-01-02 07:00:00,20987.0,0.0
28,2017-01-02 00:00:00,2017-01-02 07:00:00,2017-01-02 07:15:00,21613.0,0.0
29,2017-01-02 00:00:00,2017-01-02 07:15:00,2017-01-02 07:30:00,21891.0,0.0
30,2017-01-02 00:00:00,2017-01-02 07:30:00,2017-01-02 07:45:00,22463.0,0.0
31,2017-01-02 00:00:00,2017-01-02 07:45:00,2017-01-02 08:00:00,22968.0,0.0
32,2017-01-02 00:00:00,2017-01-02 08:00:00,2017-01-02 08:15:00,23448.0,0.28
33,2017-01-02 00:00:00,2017-01-02 08:15:00,2017-01-02 08:30:00,23747.0,4.5
34,2017-01-02 00:00:00,2017-01-02 08:30:00,2017-01-02 08:45:00,23952.0,16.56
35,2017-01-02 00:00:00,2017-01-02 08:45:00,2017-01-02 09:00:00,24179.0,49.65
36,2017-01-02 00:00:00,2017-01-02 09:00:00,2017-01-02 09:15:00,24194.0,101.8
37,2017-01-02 00:00:00,2017-01-02 09:15:00,2017-01-02 09:30:00,24348.0,176.0
38,2017-01-02 00:00:00,2017-01-02 09:30:00,2017-01-02 09:45:00,24668.0,317.54
