germany,turkey
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.4592
0.2431,0.4592
0.2431,0.4592
0.2431,0.4592
0.2431,0.4592
0.2431,0.4592
0.2431,0.4592
0.2431,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.4592
0.2752,0.7035
0.2752,0.7035
0.2752,0.7035
0.2752,0.7035
0.2752,0.7035
0.2752,0.7035
0.2752,0.7035
0.2752,0.7035
0.2752,0.7035
0.2752,0.7035
0.2752,0.7035
0.2752,0.7035
0.2431,0.7035
0.2431,0.7035
0.2431,0.7035
0.2431,0.7035
0.2431,0.7035
0.2431,0.7035
0.2431,0.7035
0.2431,0.7035
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
0.2431,0.2853
