,daily_cost
0,2.6034809975930333
1,2.819316211284048
2,2.890058436146194
3,2.804631757494689
4,2.771394523992933
5,2.561855357429775
6,2.285309226179422
7,2.8329293551894548
8,2.9397620753983977
9,2.9628679203503485
10,2.918991838599392
11,2.958266930479493
12,2.5559430150901643
13,2.361009498337015
14,2.8649356274315876
15,2.972819993877619
16,2.9400790406616943
17,2.9635140713209642
18,2.8715673171062095
19,2.474865050556459
20,2.276295903872121
21,2.870913230929221
22,2.9287768712726727
23,2.965455570036279
24,2.9829355044743893
25,2.9700738662727173
26,2.585977027557135
27,2.4104009820845786
28,2.9070627238143727
29,2.8867210334012943
30,2.9087733951144683
31,2.928144684436757
32,2.833229847288548
33,2.520837811952521
34,2.3051942421196476
35,2.818535404979228
36,2.946385939672032
37,2.938956345627348
38,2.9492626772487727
39,2.9463437070126144
40,2.5506723066197825
41,2.330135577405423
42,2.9595778319450123
43,2.932029628203194
44,2.8643201668306553
45,2.8834066567986563
46,2.8586856980944755
47,2.4310456693848432
48,2.31029135817178
49,2.8921425423677305
50,2.880724825666695
51,2.9490553288641275
52,2.9519663964113856
53,2.7953774736304746
54,2.442314549362538
55,2.2358914862204338
56,2.6708371740393186
57,2.8731793756296193
58,2.8726209945073
59,2.9463678387490226
60,2.7684810294167654
61,2.3710007573064265
62,2.306843755118755
63,2.775866171130928
64,2.850971008739358
65,2.9497304298126266
66,2.8967942298093288
67,2.7725530980548885
68,2.4152830252023776
69,2.2092180430784176
70,2.6683896167036285
71,2.7260915844040343
72,2.715813376628126
73,2.678899048702199
74,2.7020691745752483
75,2.448326890948559
76,2.4083450539043514
77,2.764473909486141
78,2.7576393428152848
79,2.818113955414346
80,2.7476806800223357
81,2.759310446475091
82,2.3119781823811927
83,2.0525695407434807
84,2.6610335654051362
85,2.685786028829675
86,2.716219987385362
87,2.6805267146709526
88,2.656155002128404
89,2.223983844279175
90,2.004892663381726
91,2.502798753674116
92,2.516713380283424
93,2.621631282129453
94,2.6768050878007426
95,2.6240556549769147
96,2.213236318859218
97,2.055782837482758
98,2.6001727616091794
99,2.6150178036544927
100,2.6867876382134055
101,2.610591420370083
102,2.130127306726147
103,2.207446827539211
104,2.009028357878777
105,2.0187595331310515
106,2.601108380312411
107,2.675906514512804
108,2.684106741134123
109,2.6815577895994833
110,2.341944684800441
111,2.1448063088901734
112,2.66044451512018
113,2.6851587662704786
