,daily_cost
0,4.674698186132052
1,5.047770853005466
2,5.129840330953895
3,5.008571674348339
4,4.924594729813896
5,4.529328724778772
6,4.051820052310897
7,5.083781736619988
8,5.241202501175441
9,5.289870329258223
10,5.18788154027287
11,5.25575229586045
12,4.504986139410778
13,4.187226721623206
14,5.128706328321156
15,5.292511576225363
16,5.223967134906334
17,5.26981696375347
18,5.082396129790739
19,4.371915194654551
20,4.042170672645651
21,5.142389151991004
22,5.220948426034837
23,5.28246895519768
24,5.308113446001111
25,5.260789545356499
26,4.567072171022913
27,4.282058397450447
28,5.192324761953986
29,5.150267523003587
30,5.182878326676263
31,5.218829853646405
32,5.0284271394443
33,4.466929889668842
34,4.100117745760294
35,5.051104546873175
36,5.254908327424166
37,5.228223238313512
38,5.266168133612604
39,5.23176357602058
40,4.5148589527715135
41,4.141018735883818
42,5.298898037484861
43,5.206034730174968
44,5.1001618353372375
45,5.147563998474558
46,5.081084618033481
47,4.305908793607946
48,4.101630327201963
49,5.203027556052917
50,5.125260289405791
51,5.264593620048302
52,5.273704004661393
53,4.940628085272529
54,4.330992248637821
55,3.9585699929954843
56,4.784079441746214
57,5.119636648988701
58,5.10791187872769
59,5.2516201222047565
60,4.910990147900972
61,4.196523686322466
62,4.099454427919351
63,4.98102874079377
64,5.081432942395398
65,5.260479554384638
66,5.1616751319539205
67,4.914919420054507
68,4.282089653812698
69,3.929795203243834
70,4.772795661696063
71,4.8759548870239104
72,4.842309598800534
73,4.7726362233334205
74,4.80451789332499
75,4.33174091966604
76,4.354600569161445
77,4.968608650312713
78,4.898247211206369
79,5.032686071400517
80,4.894370292658449
81,4.905072668271614
82,4.0837316072755625
83,3.654385131709947
84,4.7539859383235505
85,4.779979136629579
86,4.838893403386705
87,4.775946792563905
88,4.723758622193418
89,3.9364632248343767
90,3.5591505841637976
91,4.475253173253775
92,4.479316415518211
93,4.688330859844287
94,4.762042588040888
95,4.646651660101242
96,3.9056663255475046
97,3.6346228485011216
98,4.645315592937873
99,4.6542049312978975
100,4.789016919146905
101,4.6340216349181285
102,3.7528650665015406
103,3.9157789731926966
104,3.551889604064852
105,3.592039187450867
106,4.654529292165994
107,4.743191880397224
108,4.749688653184038
109,4.7719901637887485
110,4.133643019524654
111,3.7960659129926904
112,4.7495630240410485
113,4.77406674716319
114,4.759933118189046
115,4.73124442481391
116,4.658968338886115
117,3.7204265974334887
118,3.6935690837060697
119,3.7349739372847908
120,4.7274782810495015
121,4.781294492046604
122,4.840214627029754
123,4.5665826986710005
124,3.93467161282695
125,3.718220541256288
126,4.5871123655365915
127,4.503837075060752
128,4.504943489208136
129,4.550744073874272
130,4.497237664870665
131,3.8956816567863086
132,3.5745466121978993
133,4.468238784005016
134,4.661858450570332
135,4.705039295044369
136,4.646453631507622
137,4.5288190369254515
138,3.8649880593902397
139,3.5583953252837017
140,4.410245248131631
141,4.6077044348500324
142,4.555491726510336
143,3.6448824379020297
144,4.117701706427739
145,3.8843018281273016
146,3.6133905162363322
147,4.531765592348089
148,4.568973402736596
149,4.510329040445248
150,4.472282995535168
151,4.446454509549176
152,3.8195868750847644
153,3.4470077410061997
154,3.479403954322717
155,4.5865858821719305
156,4.801497120300743
157,4.583293908695592
158,4.591242790788928
159,3.9186363770099932
160,3.695802669460157
161,4.711296767021821
162,4.691872889873846
163,4.456441530878982
164,3.852127309057009
165,4.333440906854976
166,3.9023375573703194
167,3.6188760294897007
168,4.542807967849637
169,4.665457421054518
170,4.599955824584803
171,4.698587285624787
172,4.6448008285883535
173,4.055664775259941
174,3.7126098050927276
175,4.505776064746563
176,4.5421272951025315
177,4.520731607768828
178,4.5534115690412795
