,daily_cost
0,2.0902596336807866
1,2.4943426874061867
2,2.6190987517583904
3,2.677256431902629
4,2.6222840189033443
5,2.5970742175396624
6,2.475027653672908
7,2.277834756599654
8,2.6271291449867262
9,2.695075274625032
10,2.690414144036192
11,2.6843585460784416
12,2.706120057891011
13,2.461310472453482
14,2.3242108672139454
15,2.6421949417042097
16,2.7074070242137065
17,2.692614906944867
18,2.694164335036169
19,2.652312270367604
20,2.3998357384524267
21,2.2552143295926803
22,2.6359717004204826
23,2.6746321693394326
24,2.694862674623445
25,2.7067187081644133
26,2.689899559749595
27,2.4679835596935282
28,2.3400896616870304
29,2.6384229179716705
30,2.642293814484971
31,2.687588697858663
32,2.6938862910364567
33,2.6410881640557564
34,2.4429355636050745
35,2.2926118052443054
36,2.6206706250701
37,2.6860121056614417
38,2.6974925462663006
39,2.6999232814300886
40,2.696418686966612
41,2.4587759037047205
42,2.3016035880776538
43,2.6948940129410426
44,2.689210305746937
45,2.6362293448515053
46,2.6540061117434446
47,2.64013705424952
48,2.3686150533963706
49,2.2784474196048867
50,2.6312989798953255
51,2.647235891698781
52,2.682567472682455
53,2.6706728628788876
54,2.598681063148521
55,2.367068514258846
56,2.217438417561966
57,2.5087254086330235
58,2.6267584009947154
59,2.6619743385795918
60,2.6985905586988936
61,2.5908869334748776
62,2.340165591949162
63,2.2911741293081263
64,2.5908418779993974
65,2.643059270624593
66,2.6810703771179036
67,2.6704597211121355
68,2.5959427757150855
69,2.360606042724906
70,2.2094360677540053
71,2.5201344667882397
72,2.5580422022849887
73,2.5509610893444616
74,2.521847656926332
75,2.5394479352528143
76,2.37598998720978
77,2.3339975484091497
78,2.5668569621493886
79,2.571580799993576
80,2.606060330381054
81,2.5644441654282124
82,2.561034492016965
83,2.270464184037026
84,2.070694567164561
85,2.4896373757353483
86,2.5177223271274114
87,2.535005644544642
88,2.5117664286907244
89,2.4934308040692503
90,2.2313850589461284
91,2.063183940316932
92,2.417875741755566
93,2.424886087277258
94,2.4972708781947466
95,2.5343549178827507
96,2.501373918886831
97,2.2159659104530607
98,2.0955116482057927
99,2.473013313594482
100,2.4876671993307617
101,2.5225620774840745
102,2.484755929894756
103,2.1453052694736323
104,2.2030233173475917
105,2.0479573622987917
106,2.054462816978029
107,2.4666921891404288
108,2.5228281694856545
109,2.5205509475024797
110,2.5204736144317783
111,2.293418042394939
112,2.1460331331767515
113,2.498593232760693
114,2.5115684442374535
115,2.5177597770841245
116,2.5045066143729366
117,2.477033803949154
118,2.11763362261989
119,2.0951641101974747
120,2.138950627165927
121,2.5014825103269134
122,2.5302180517014388
123,2.5644335447487507
124,2.4751957625374317
125,2.230499656087513
126,2.1221841834641557
127,2.448172211116352
128,2.4394208994401096
129,2.436963589007207
130,2.441864790454557
131,2.430917409752985
132,2.2018705671578243
133,2.053046935254634
134,2.395722364717973
135,2.4828394304547414
136,2.4958258469660106
137,2.480613163513319
138,2.4283378967573572
139,2.181480805788108
140,2.036512939023313
141,2.3669844843240235
142,2.445848051649469
143,2.4378747421628337
144,2.083702411095505
145,2.2538284190888613
146,2.171063911964513
147,2.049285493581638
148,2.396893505784361
149,2.425046609756488
150,2.4082012005438678
151,2.424070233271033
152,2.41816772281235
153,2.1779332367597055
154,2.0148413903396185
155,2.0159928299874985
156,2.439792155286393
157,2.527827408671612
158,2.4627564788313325
159,2.4634238670891215
160,2.216919577958035
161,2.103891137148953
162,2.4764632176608385
163,2.497039474792316
164,2.4132652411114877
165,2.181279118258951
166,2.3495932602368956
167,2.1917766695117735
168,2.0663784503830134
169,2.415885563869226
170,2.4643391997360427
171,2.4520721343233283
172,2.487367427838701
173,2.468065941127635
174,2.250524512996691
175,2.097156005247064
176,2.40540906874637
177,2.420248719250635
178,2.408607701836915
179,2.4197277055764124
180,2.4580833363165366
181,2.257143823836554
182,2.099490952206173
183,2.411861101029034
184,2.4813540823863947
185,2.5084029480984027
186,2.5086159564648067
187,2.5067513304849154
188,2.2742111040886663
189,2.1146710151409494
190,2.481365833744639
191,2.512291007241565
192,2.5258179471272455
193,2.4733115206486826
194,2.474525658731191
195,2.214108040347081
196,2.075818786895245
197,2.4145475863824446
198,2.4747616458312653
199,2.486038585512963
200,2.446015198355377
201,2.4121872965585025
202,2.1926081574877054
203,2.015148747039749
204,2.3630090793430005
205,2.4452811532527923
206,2.418715146756836
207,2.452673760782641
208,2.3666894752946592
209,2.154512264705703
210,2.033613843638085
211,2.3321257824707184
212,2.41228812487092
213,2.4091350914654828
214,2.44189688755753
215,2.412449445250749
216,2.1293691981769154
217,1.9591655442323073
218,2.319995066095044
219,2.4168086762814514
220,2.4311248349307086
221,2.3977941606541764
222,2.3708763881288695
223,2.1434221150861115
224,1.9694620054822443
225,2.2939352856241357
226,2.3333274075848243
227,2.3733161733323787
228,2.4150093350941293
229,2.388622744661928
230,2.14584329073864
231,1.9972588729640643
232,2.329888045994113
233,2.319839932464984
234,2.330466643579458
235,2.383455753632583
236,2.3438430201477742
237,2.0840890818104003
238,1.9587267523471776
239,2.3014109396413747
240,2.366552384356353
241,2.377411642364397
242,2.3353622983335756
243,2.331457323878098
244,2.0787600962967705
245,1.965058199594706
246,2.343431187920831
247,2.4177497025747576
248,2.4685880940487572
249,2.391395313543683
250,2.4664063441070985
251,2.1784586966764348
252,2.0271396211771107
253,2.4440583180050157
254,2.500671015116166
255,2.543653367990626
256,2.530168238957106
257,2.440172421690527
258,2.1629566629131403
259,1.9975111286573723
260,2.3802824456353644
261,2.4149713372236232
262,2.4138596986768928
263,2.4198800862308767
264,2.3912988190043123
265,2.1470629602980864
266,2.021781385357737
267,2.4115904205968692
268,2.451051251656059
269,2.452512730837114
270,2.4601345535125283
271,2.432856046358873
272,2.1672055691390315
273,2.04613496264165
274,2.3733552321335676
275,2.2156568496577034
276,2.4648638406455037
277,2.52593989793308
278,2.5259487072289684
279,2.310595326300797
280,2.1338791226865443
281,2.4384479191414545
282,2.516949963979725
283,2.550806196903579
284,2.507826185325472
285,2.4656181375974304
286,2.1950753129909097
287,2.0444041351251623
288,2.444573417204179
289,2.519225509082909
290,2.486356452748802
291,2.49208651401128
292,2.49263148135292
293,2.211596209863383
294,2.151649735683617
295,2.451215125876355
296,2.5047679625108734
297,2.511134456835846
298,2.4629973740323323
299,2.468113088053573
300,2.286726041326117
301,2.2156670922616715
302,2.342810174567812
303,2.211499245190604
304,2.3713799037050514
305,2.4558116252012936
306,2.4486099489303363
307,2.300202770889967
308,2.147263069661353
309,2.4660533435645435
310,2.5305583615454452
311,2.522234932733703
312,2.5097426002865033
313,2.5660188611822727
314,2.3745675783618365
315,2.2115428547138896
316,2.5153747027222737
317,2.5305546460766313
318,2.4597961213392057
319,2.5590203310857897
320,2.544046447544694
321,2.379448703123469
322,2.2379021153749497
323,2.5797366929057675
324,2.598881699963137
325,2.5741775316495015
326,2.6419608638917
327,2.572120555113428
328,2.342280906075311
329,2.314340884820793
330,2.6646832068645367
331,2.654189439994013
332,2.577017261028378
333,2.5715748086983368
334,2.5686706812030256
335,2.3929834564338113
336,2.3392276198615543
337,2.6859668404675725
338,2.6894887525599325
339,2.6651626658135537
340,2.7275589795491224
341,2.6801409988135605
342,2.518884355720056
343,2.415049332593286
344,2.6812403377413982
345,2.7215685892638013
346,2.7126193447244424
347,2.7199233276832286
348,2.606932703914506
349,2.404071322703894
350,2.3197027050173733
351,2.616421031418194
352,2.6011318693970105
353,2.539938555370735
354,2.522764450166321
355,2.421582569235907
356,2.237323127530662
357,2.0873682068843253
358,2.025430060596429
359,2.1075195383960232
