,daily_cost
0,2.115223708151029
1,2.4943626557483563
2,2.6304863402263643
3,2.677311589154514
4,2.622272916394044
5,2.6071014119959424
6,2.4749873697263385
7,2.277848468277599
8,2.425223223437842
9,2.695115237797952
10,2.702630913030193
11,2.6843391211517464
12,2.7062127771675515
13,2.4641369143565823
14,2.3242042960854428
15,2.6421442817137386
16,2.471965309234887
17,2.6926132058124606
18,2.7049721477322217
19,2.652395379108721
20,2.3997834873102812
21,2.2536530609288112
22,2.6359631892268585
23,2.6746178073434965
24,2.4679562783583098
25,2.7067067808220333
26,2.699975570598287
27,2.4679610589440775
28,2.340086147345834
29,2.6506260822975154
30,2.6424807041600866
31,2.6876106536076225
32,2.4641633463277843
33,2.6411473852525655
34,2.4470855881512232
35,2.292614733702071
36,2.620643907801379
37,2.6989620072502922
38,2.697520197652668
39,2.6998966929923025
40,2.467594065134462
41,2.458731922372823
42,2.3022560055327355
43,2.6948692234915472
44,2.6892589881786306
45,2.6472768214800295
46,2.653994611102905
47,2.640206604403515
48,2.319857757668049
49,2.2784561453454435
50,2.642472591874383
51,2.64724319670892
52,2.682593506146786
53,2.682554014710962
54,2.598739138396532
55,2.367003256590999
56,2.226154984210368
57,2.5087020388427494
58,2.636287001730629
59,2.661962745094594
60,2.698639563576224
61,2.601037622802889
62,2.340125985476844
63,2.291171513907332
64,2.406190387418167
65,2.643080207585992
66,2.693632899655932
67,2.6704766815492476
68,2.5959926613663895
69,2.3623963448228498
70,2.2094736854122554
71,2.5201470478109647
72,2.4020679932497417
73,2.55097156940372
74,2.528582325945704
75,2.53945782947159
76,2.3758687699005874
77,2.332646550121932
78,2.566872901701795
79,2.5715712584055326
80,2.4271496348658217
81,2.564463619527256
82,2.5681742906494587
83,2.2703022124325205
84,2.070834583394652
85,2.4981020228450213
86,2.5177217197494897
87,2.535015504037585
88,2.383792088867971
89,2.493663755679519
90,2.231520056753874
91,2.0633029644557492
92,2.417906202990122
93,2.4319686419827313
94,2.497279064274348
95,2.5343591255628874
96,2.3794777088117613
97,2.2158610449325904
98,2.0938732174212404
99,2.4730296245355663
100,2.4876666924492725
101,2.5313672790770845
102,2.484680913228952
103,2.145287961875177
104,2.2048621932236565
105,2.0479135069325207
106,2.0528894787644134
107,2.466718883564378
108,2.5228251192984197
109,2.5283857127265397
110,2.5204515566575187
111,2.293315661324528
112,2.170284532006638
113,2.4986106310484284
114,2.5188145887248585
115,2.5177570429756964
116,2.5045032533115736
117,2.4848028634061143
118,2.11754264167045
119,2.095438106089181
120,2.1478150197140597
121,2.5015163925317654
122,2.538259538092353
123,2.5644469948641393
124,2.475157979080994
125,2.2311014457331475
126,2.1222722177892916
127,2.4482104019624837
128,2.3479199011091603
129,2.4369526303636966
130,2.4470484474427625
131,2.4308724467232357
132,2.2017187707174593
133,2.0508649459273034
134,2.3957791027446844
135,2.482835623522246
136,2.373246547795736
137,2.4806002489620815
138,2.4328791607629547
139,2.1813412159233
140,2.0366405466557307
141,2.372389314532839
142,2.445863093402406
143,2.437763037113713
144,2.1270672119238463
145,2.2538276893467373
146,2.170469059317881
147,2.0493920904605774
148,2.3969432827165504
149,2.431937223289474
150,2.408463484794832
151,2.424085809016989
152,2.327022041544348
153,2.177792471303356
154,2.0130685163573183
155,2.0161426220105874
156,2.439838983919
157,2.537406786819036
158,2.462757630763782
159,2.4633827422642183
160,2.221306525225788
161,2.1040026547446584
162,2.4846760808635815
163,2.497031001249684
164,2.413200699683909
165,2.180032148975417
166,2.349565964484182
167,2.191666299305461
168,2.1021774653565704
169,2.4159209110697315
170,2.4717417852930406
171,2.452076228769608
172,2.487364149186514
173,2.474856133681888
174,2.250397854704336
175,2.097249428546727
176,2.319166011749505
177,2.4202471372622565
178,2.414646949555438
179,2.419738928584095
180,2.458316397561119
181,2.257921579517746
182,2.0995893552305023
183,2.4118951482784508
184,2.3632539351926547
185,2.508403250416156
186,2.5179126497312443
187,2.506726963198955
188,2.2740835809229094
189,2.1125720222714595
190,2.4813850004448144
191,2.512287333946465
192,2.3880265854805973
193,2.473311726539873
194,2.4815604289151483
195,2.2139728017294575
196,2.0759300054706187
197,2.4210403647801213
198,2.474766466011029
199,2.486028104900838
200,2.3517788552919128
201,2.412144864845922
202,2.1919319816005265
203,2.0152890982050145
204,2.363048073409873
205,2.451989907428248
206,2.4187063790813954
207,2.4526530274521985
208,2.30638944259176
209,2.15437145933486
210,2.0316651527632787
211,2.3324545818807705
212,2.4123105165991015
213,2.4153094185715314
214,2.4418968053283425
215,2.412354796081332
216,2.1508042557172526
217,1.9592816698411732
218,2.324385791080425
219,2.416798312245886
220,2.4311286932299034
221,2.4030300885112914
222,2.3707856741139697
223,2.143268312544233
224,2.0106454344880125
225,2.294009900614698
226,2.336647258491574
227,2.3733281337525014
228,2.4150114978082473
229,2.395130315137279
230,2.145694510216767
231,1.9973844958787397
232,2.266736221597727
233,2.319831246019606
234,2.3341136268328153
235,2.3834343530751307
236,2.3437466250567014
237,2.0822806293863745
238,1.9588673674638475
239,2.301463232252653
240,2.305520011697968
241,2.377393319348412
242,2.339002505990468
243,2.3313857722117235
244,2.0786313770850375
245,1.962975205973367
246,2.343493824256943
247,2.4177602556051134
248,2.3519856178115717
249,2.391394269588029
250,2.4734418868525303
251,2.1782814560538526
252,2.027300979952501
253,2.4514836151297588
254,2.5006599098801066
255,2.543669902679267
256,2.3921068004172326
257,2.4401219214225907
258,2.16150244678054
259,1.9976524743059787
260,2.380336494065866
261,2.421047485022705
262,2.4138594001051743
263,2.419877782712251
264,2.324515413406076
265,2.146909742985454
266,2.019549492408678
267,2.4116296611216947
268,2.4510486026331373
269,2.45968393235183
270,2.4601243997797266
271,2.432784765924525
272,2.193153947175037
273,2.046294316212351
274,2.377319877012413
275,2.2156699183270914
276,2.46488279277417
277,2.535373008832409
278,2.5259414035962764
279,2.310489635747901
280,2.1588658870631825
281,2.4384763303862753
282,2.52471531895925
283,2.5508147544510282
284,2.5078195345720404
285,2.473341857185791
286,2.194910436511315
287,2.044545317907408
288,2.333034209251891
289,2.519221831972899
290,2.4931531820106
291,2.492088986900637
292,2.4925841817786094
293,2.211281822195239
294,2.1517199754512544
295,2.451238551928383
296,2.3796467035540947
297,2.5111394008614774
298,2.4686395417118354
299,2.468090805492137
300,2.286702221169763
301,2.2147674483339523
302,2.3427878245594784
303,2.211808473146481
304,2.3052664702738386
305,2.455825866783065
306,2.4544928572515117
307,2.300078541975794
308,2.1473589165689932
309,2.4731894865080646
310,2.530558211388195
311,2.5222342081062483
312,2.3815281782024447
313,2.5660425366447477
314,2.377135647211558
315,2.211604318722464
316,2.515393683793382
317,2.539454205863228
318,2.459789297673864
319,2.5590255298339954
320,2.405640790185693
321,2.3793657105592048
322,2.2388452041182783
323,2.5797576926725454
324,2.5988758928817117
325,2.584458301966384
326,2.641979931732153
327,2.5721478090787597
328,2.3099629979610516
329,2.31433792613302
330,2.6787532460269885
331,2.6542192644539413
332,2.5770303176139877
333,2.5813105675812986
334,2.568709696057991
335,2.392944552357327
336,2.2987102087015256
337,2.685967574684784
338,2.7027858181599567
339,2.665157001957466
340,2.7275599182621337
341,2.693696409991584
342,2.5188658082156783
343,2.4150225669409173
344,2.459641896452355
345,2.721637549640819
346,2.7271951287503993
347,2.7199692015250174
348,2.606989548370914
349,2.4066141317011844
350,2.3197135675688507
351,2.6164148227469
352,2.429848048523909
353,2.5399372890846235
354,2.530949853557244
355,2.421493643494087
356,2.2372532194072647
357,2.0843042235641596
358,2.0254840256747424
359,2.1075463200520987
