,daily_cost
0,3.0033187488432507
1,3.013115354793197
2,2.9755650229334583
3,3.052394418396116
4,2.97547634163354
5,2.6807286437263915
6,2.695294967263853
7,2.6037859169645143
8,2.7622949473487974
9,3.0950748712234994
10,3.091854366407462
11,3.3060303541439926
12,2.628542469517953
13,2.9026264383748197
14,2.446910887005981
15,3.0179714065945062
16,3.349783188689264
17,3.0802791949714785
18,2.8459614126127173
19,3.0032952988888995
20,2.566120158940854
21,2.3292386306386086
22,3.2483321079394436
23,3.0608964881952208
24,3.092582090774614
25,3.346272999789362
26,2.5935837500286656
27,2.6808334374736478
28,2.7161949931899145
29,2.770721369387928
30,3.4849304939884753
31,2.6039136084648558
32,3.0922229790828295
33,3.2301817886755395
34,2.4093932232680904
35,2.8757321840640695
36,2.747710342965085
37,3.080923032974349
38,3.092273064332789
39,3.105876581504358
40,2.8510132160268076
41,2.672125485296891
42,2.412972143552939
43,3.107733973986364
44,3.311363772592471
45,2.754417359788217
46,3.029990284632202
47,3.233927037935499
48,2.5213175475047045
49,2.135580839753678
50,3.0151060603206146
51,3.011337763609551
52,3.317259409215861
53,3.061099101742649
54,3.1487367893557248
55,2.046204031753088
56,2.2612410473704663
57,2.7945029538511874
58,3.69223886096967
59,2.5577616467309143
60,2.864974518428849
61,3.1447115830503622
62,2.2340672548430094
63,2.3968103081730487
64,3.415337211599683
65,2.7696182850686046
66,3.073949377890046
67,2.8130754393444253
68,3.1517275114525254
69,2.2731620226863964
70,2.4974631333906614
71,2.8124157831025776
72,2.6363881873612622
73,3.092756082005273
74,2.8025882118992023
75,2.5912835205559595
76,2.7714243900684896
77,2.2738743318272463
78,3.1425957529465824
79,2.8799253536212652
80,2.7136112089453674
81,3.11205039730256
82,2.8644798349409064
83,2.350554161892087
84,1.7904608202444432
85,2.7599679157146473
86,2.795310325793825
87,3.0652988135587886
88,2.788362789155427
89,2.7536853887714794
90,2.290236689408212
91,1.7702919448958132
92,2.640106622099083
93,2.637517860959977
94,2.772443679857876
95,3.0591071313966793
96,2.753348413382438
97,2.01805734413987
98,2.0540583379145545
99,2.731960113932991
100,2.7443730724340725
101,2.8077320885303236
102,2.9695209691064
103,1.8919352119728754
104,2.4835187142999695
105,1.7350479533652654
106,1.9976088053639847
107,2.9618682382017667
108,2.553371777731686
109,2.782519852282166
110,2.7985392362088417
111,2.625287724297115
112,1.9023838811710774
113,3.0109016707942455
114,2.543775270449012
115,3.0245866490762126
116,2.5290517447272944
117,2.947528660007002
118,1.8345321371793564
119,2.7616400530082275
120,1.8973931744265229
121,2.5516649591644405
122,2.5806619925594254
123,2.868844263616143
124,2.703542075094331
125,2.2754645337280714
126,2.3464329343999486
127,2.6947354150553124
128,2.4165321381684963
129,2.8892878139170057
130,2.4291612921943257
131,2.8787231656762824
132,2.2320053984898105
133,1.9903712747593743
134,2.6056760874037286
135,2.7351812351417966
136,2.5222803959586675
137,2.9606873292971434
138,2.877429377866479
139,1.7188721409561285
140,1.9590174345743558
141,2.5491298587544517
142,2.921434980379466
143,2.6539153703810157
144,2.0223430125926836
145,2.352473736893537
146,1.9529797966520452
147,2.4589055976953627
148,2.3781951499468903
149,2.6372983162833075
150,2.608727924014377
151,2.400301336217922
152,2.622153064635875
153,2.4310927906712787
154,1.6765468651073125
155,2.166596398764657
156,2.687802584281106
157,2.576494660136773
158,2.936041594678042
159,2.4626203348027444
160,2.4904902896686694
161,1.8402589914968444
162,2.980993242850634
163,2.9934538831894026
164,2.13191640001924
165,2.192541850680196
166,2.515927700376227
167,2.2211635276895585
168,2.0088973919460176
169,2.8782713977355043
170,2.4719821155014468
171,2.9197128977575377
172,2.739173933655547
173,2.6986353810918056
174,2.0797729647365766
175,2.0611231220875568
176,2.8460734938354033
177,2.6314600879432155
178,2.8454370627272616
179,2.1594612851376254
180,2.6889633248898006
181,2.566282012604869
182,2.0669917921081598
183,2.6266351560177577
184,2.7326389632358383
185,2.7777457771245206
186,2.7768760433073596
187,2.5281622124587715
188,2.5880382200340573
189,1.8514905338169256
190,2.7419195182230953
191,2.7844375985957943
192,2.8097503009946427
193,2.715948521782113
194,2.714982186005987
195,2.009587455613577
196,2.500994409507899
197,2.3926727620153327
198,2.960874461199911
199,2.7309684122279543
200,2.4264583900676695
201,2.6148643827717697
202,2.2143267676683767
203,2.1620298455183367
204,2.3049023742344277
205,2.682873067133017
206,2.860442968305685
207,2.447470366271274
208,2.534948704284516
209,2.1482747730900043
210,2.4299114533993094
211,2.494545435359278
212,2.382677284891113
213,2.6095855252179185
214,2.6728423589741057
215,2.847163926431674
216,1.6329518144978203
217,2.3009718154074026
218,2.2443946282172016
219,2.3947060255439356
220,3.1299125930600247
221,2.1161418076396497
222,2.77520095643122
223,2.3794950571586737
224,1.609284617073037
225,2.431685789548996
226,2.47585769138771
227,2.3179404277936464
228,2.6303046864635298
229,2.8112865805848974
230,1.904377103320077
231,1.9004952637718788
232,2.968842984492648
233,1.9910729824539912
234,2.4836269143338545
235,2.568382606395184
236,2.9740655262358273
237,1.7950929799365298
238,2.0665350797677213
239,2.207885950439655
240,2.545258934011034
241,2.3184590308894992
242,2.961102299242396
243,2.240439473138005
244,2.0275670632180933
245,1.6048528112334475
246,2.526829693872237
247,2.878499478139491
248,2.478707782614067
249,2.5811013375896104
250,2.7156799659684636
251,2.1940828238364403
252,1.9535690308982052
253,2.691971250065372
254,3.005201617731955
255,2.613240013572865
256,2.824000893511316
257,2.890273001338126
258,1.9277510433620701
259,1.9049722810730412
260,2.588361159509654
261,2.6280503604351395
262,2.860558727511463
263,2.3975580227431483
264,2.5760381081421198
265,2.1455077562086653
266,2.1881509464332005
267,2.403285066979419
268,2.6906812567088583
269,2.690911269333711
270,2.9435883309952007
271,2.6565703935554144
272,1.9492971311380503
273,1.983521257356196
274,2.5622246448103283
275,2.2623392969942384
276,2.962998071367546
277,2.8125224712856736
278,2.809092452293927
279,2.192460363923688
280,2.128279119666595
281,2.6795967542414685
282,3.5192421456378122
283,2.1486250668771563
284,2.7824960459087755
285,2.7126980978920434
286,2.469404015474841
287,1.9925924790664638
288,2.459585027199635
289,2.8067873472290987
290,2.9936326848083756
291,2.5212248989812496
292,2.759900089388534
293,2.2597882235845685
294,2.1609683487021107
295,2.935411188204974
296,2.5501858005782756
297,2.789699843716397
298,2.709442885716866
299,2.711568923521819
300,2.6267018458517186
301,2.2597606445132605
302,2.2647825033598954
303,2.4958406425681177
304,2.320476408145777
305,3.180157384103097
306,2.4467019489040105
307,2.652654701754221
308,1.6903373258866647
309,2.965796544884614
310,2.829766618654483
311,3.0392727912404887
312,2.316985925789936
313,3.126805608513048
314,2.288223242499327
315,2.506903799855119
316,2.804768184445113
317,2.587994717823947
318,2.93935113326127
319,2.6437201235336496
320,3.0781188029626705
321,2.3058556789348654
322,2.309870779352088
323,3.392209527989451
324,2.4616662615478284
325,3.1322419576990463
326,3.010380631746071
327,3.1308299311482566
328,2.2485117108227204
329,2.681387174550792
330,2.825378319164281
331,2.785064559967816
332,3.1242130540964657
333,2.6525535952327495
334,3.1124678565870854
335,2.7991938016024123
336,2.0063651091534362
337,3.09060319308834
338,3.324022839051461
339,3.0447112819880675
340,2.9215985784937386
341,3.067568302014902
342,3.01002210582497
343,2.3755150270636753
344,3.317235221149292
345,3.3744009311185668
346,2.655088816071231
347,3.1350490330677587
348,2.932794519632198
349,2.8234585727532346
350,2.6828786108859646
351,2.7329105104566818
352,2.69962135574996
353,2.839636636513362
354,2.8059642260015383
355,2.6325120238624606
356,2.322512333617734
357,2.0434256211893764
358,2.1843237436410616
359,1.8495752411911175
