,daily_cost
0,2.4913523377814326
1,2.593767761146939
2,2.512105999928052
3,2.2943074110513035
4,1.6092085188381189
5,2.4517762233955036
6,2.446572374265276
7,2.259677832178688
8,2.4424820918229746
9,2.8699437976979136
10,2.459961842794845
11,2.7837287417782144
12,2.46814980860551
13,1.6986568981173027
14,1.763130353911379
15,2.6857768895904304
16,1.9552071205053314
17,1.7980775607230948
18,1.5432062421578763
19,1.5382307871994614
20,1.1038521861260362
21,1.4700266427562134
22,2.896788614988812
23,2.290818166998979
24,1.6750747312321137
25,1.337001331926768
26,1.5933863036581608
27,1.4408595253599812
28,2.3180134077343926
29,2.3029170799517336
30,2.2482628532607905
31,0.817395002398255
32,2.215247268635743
33,1.9840353795403023
34,0.8424875694021537
35,1.4055638667254322
36,1.9519946667592873
37,1.994930509289537
38,1.6766547134267102
39,2.2329649670439684
40,1.6336243858655968
41,1.0422037113770677
42,0.10513542116487326
43,0.46463258608203034
44,0.18075478988512467
45,0.36799159102159906
46,2.1097783674371806
47,1.6697519635930338
48,0.7819452185178353
49,1.1875683200013747
50,1.6431974748833766
51,2.205501562603493
52,1.8010989574065701
53,1.117954222640492
54,-0.12025783751419183
55,0.24212587088712673
56,0.21225290934465896
57,1.0740802674097387
58,1.5061693164184013
59,0.3770859031268912
60,0.7593629800245318
61,-0.00431007764852636
62,-0.4153744714063239
63,0.5591231661094379
64,1.6023294547086913
65,1.4825201788631739
66,1.5690068498900018
67,-0.8118088541634509
68,-0.07242741639962574
69,-1.9313849726276149
70,-1.5665844365368953
71,-0.8333152025638669
72,-0.7962402509956117
73,-1.0736583482558006
74,-0.2613917552895943
75,1.3680972087724688
76,1.1440167997337731
77,0.44707303902050477
78,0.5246247445932976
79,-0.2579877446575316
80,-1.0883078619973416
81,-0.792877074777685
82,-1.5650677632793204
83,-2.136463520449771
84,-2.610634846181711
85,-2.4626536621836546
86,-0.7288080875398243
87,-1.3993974942847662
88,-1.7443269005069197
89,-0.9930808863019062
90,-2.019164917800221
91,-2.220068427990323
92,-2.346945103452847
93,-0.906976700372601
94,-1.0314356960037956
95,-1.015560361814999
96,-1.436621201313841
97,-3.062133027011722
98,-2.167677546495426
99,-1.6318241690153261
100,-1.1651528365972457
101,-0.751984552120132
102,-0.4034752028737051
103,-0.8164983899383504
104,-1.2337888432390833
105,-1.623579190731979
106,-1.9899951711505146
107,-1.3412525814300056
108,-2.9221066174760497
109,-1.328216205057748
110,-0.7266713044903024
111,-1.5191249465709105
112,-3.3880990740876498
113,-0.744693693496577
114,-1.5242912434473592
115,-1.4866615045680782
116,-0.7811973343060025
117,-2.381211455526885
118,-4.092118584161388
119,0.13206552856279524
120,-1.108479053936628
121,-1.1443953425630202
122,-1.018379665422032
123,-0.22159063015900032
124,-2.9877239135746323
125,-0.9684530411975751
126,-0.0772669457278529
127,-2.642799547352549
128,-3.745710233323491
129,-1.9687462185488422
130,-2.1233426308048013
131,-2.607064442984165
132,-2.731316786783709
133,-3.952231762657148
134,-2.828231382581283
135,-3.380269731647309
136,-1.6261804948777903
137,0.7582982679406765
138,-2.773572436922284
139,-3.7459738123587965
140,-4.195076192563671
141,-3.2490379157091147
142,-2.168850192868635
143,-2.8483798147968504
144,-4.614770045240015
145,-4.091913671457578
146,-3.4614666268840706
147,-3.804913942235217
148,-2.891319145202418
149,-2.8688696748252354
150,-4.126024009822926
151,-2.997740691877794
152,-2.5715097320844427
153,-1.8617830082795797
154,-4.306603469392309
