,daily_cost
0,2.086710279936299
1,2.775412204269538
2,2.9953746039005305
3,3.0524804238358607
4,2.9754414465573777
5,2.935177056364487
6,2.695225114069104
7,2.366099239797101
8,2.6186577677975724
9,3.095123980930601
10,3.1130508708759077
11,3.068247964070112
12,3.104137206064606
13,2.6695978957836286
14,2.4469384462673096
15,3.017871252155606
16,2.679830082198652
17,3.0802614843286182
18,3.1025030631665107
19,3.0033982324947903
20,2.5660240911436176
21,2.326676309942444
22,3.0105513626783593
23,3.0608567563169364
24,2.6739150095346886
25,3.108496575124454
26,3.08649565686998
27,2.6807961527245276
28,2.4784784197658345
29,3.028818142408846
30,3.0098117461305867
31,3.0794362477910124
32,2.6688213962599896
33,2.9924875372576842
34,2.654394362779676
35,2.4002812199015993
36,2.985404323444655
37,3.1025129430418144
38,3.0923148143873993
39,3.1058207578310326
40,2.671080659601064
41,2.672042253519735
42,2.4141808634998063
43,3.107658678583153
44,3.0736913041180234
45,3.0105916652390436
46,3.029964866639974
47,2.9962374867779684
48,2.42287543368148
49,2.3733871521120706
50,3.0344915436106463
51,3.011338847618672
52,3.079534741796689
53,3.0809083042989114
54,2.911042838337364
55,2.521578920756957
56,2.2662012405715903
57,2.7944803224151746
58,2.9955285024391314
59,3.0332518679465403
60,3.1027722438465526
61,2.9238660234621
62,2.4717380033068017
63,2.3968377101482954
64,2.5903709379811017
65,3.007383019310649
66,3.0956565258155218
67,3.0508442026450924
68,2.9140177088078496
69,2.5138765928230176
70,2.2598158211632655
71,2.8124337556326897
72,2.5766541616023573
73,2.8550079226505645
74,2.814156428693492
75,2.82901844556564
76,2.5334330963952807
77,2.5094108006830442
78,2.904871836755721
79,2.8799083161002677
80,2.6140241179759336
81,2.8743186470415574
82,2.8767791030582686
83,2.3502331953577453
84,2.02850792985625
85,2.774097350986843
86,2.7953034195715953
87,2.8275466756073917
88,2.544453498956454
89,2.7541169182959098
90,2.2904929912235654
91,2.008283335100905
92,2.6401649202819857
93,2.6493320304181136
94,2.7724644770688576
95,2.8213531108592833
