,daily_cost
0,2.2927354949246253
1,2.5679539095876693
2,2.606302279578118
3,2.1274476034718965
4,1.977850709884518
5,2.4284431382816227
6,2.1396524924670373
7,2.6322259169286775
8,2.7538659428892807
9,2.837696692620126
10,2.5289977040185425
11,2.6432069506382914
12,2.162967249067235
13,1.9029600575944583
14,2.448848649747018
15,2.4703550108627588
16,2.361567152208273
17,2.0898550982313515
18,1.9816900603660275
19,1.423013986135793
20,1.2263021553382079
21,2.3488265534202357
22,2.7300787919216494
23,2.4999967675002983
24,2.0104573089140114
25,1.9076806762869478
26,1.5723365817326185
27,1.608291363647
28,2.6870853339493275
29,2.6220357727611687
30,2.2260573237410393
31,1.8451996666291373
32,2.370486389415441
33,1.8343505808964742
34,1.4174993356549934
35,2.1569574060892047
36,2.3976612809973012
37,2.362808046479701
38,2.173175035569009
39,2.623739823277869
40,1.7479923495049463
41,1.4112245043353426
42,1.4910542324936253
43,0.9594634338709921
44,0.8504251876425941
45,1.4207647633203673
46,2.3836091459386157
47,1.5608623565617261
48,1.3378429191517347
49,2.4060123564365097
50,2.153779450326838
51,2.5403689366432554
52,2.145883475513646
53,1.3620964692816464
54,0.8640884051775478
55,1.0500579712197609
56,1.518344570167956
57,1.9396159263062036
58,1.858772929594465
59,1.6441386634711808
60,1.3301514492689197
61,0.8879108345761919
62,0.7652787097399589
63,1.8404429092482455
64,1.9294142467550552
65,2.315300318016346
66,2.157261594249772
67,0.4585429283260004
68,0.02390904664057736
69,-0.4150968857306442
70,0.10398251307468276
71,0.4018006823083029
72,0.6783984020611957
73,-0.15720662723666234
74,0.9309387667912137
75,1.8504839159908484
76,1.7275253569315088
77,1.6951753176964304
78,1.357528095870796
79,1.0108850551546595
80,0.11772086497024725
81,0.5656233085001489
82,-0.7026703209069025
83,-0.8679403063431301
84,-0.6799685289037287
85,-0.4816208230272978
86,0.7447125341868126
87,-0.1620173018488571
88,-0.2282981385820977
89,0.22061888880938163
90,-0.5036117708791394
91,0.09508594438139095
92,-0.34278534217632783
93,0.5143811887916511
94,0.8440078268532807
95,0.5312429117422887
96,-0.2861689335798445
97,-1.3509071730896163
98,0.2627488096221895
99,0.33376789686508923
100,0.53283584355477
101,0.7903109130915772
102,0.41765255817962377
103,0.7583762087718997
104,0.38062873245347684
105,0.17894961942815935
106,0.5091659843471944
107,0.33298040751904256
108,-0.7202330060336508
109,0.38763445866156954
110,0.5493591864645324
111,-0.17621913587495086
112,-0.4441319130688357
113,0.5894178750513768
114,0.5274356039112245
115,0.3478497879204122
116,0.8125566296459569
117,-0.715688524371982
118,-1.7913480693079573
119,0.8450074315455658
120,1.0965568719199306
121,0.6342195319860591
122,0.9957768376771434
123,0.9805303191300984
124,-0.9918760593904808
125,0.4873376779983035
126,1.4567998015459018
127,-0.45480212868242176
128,-1.3065374656139648
129,-0.4727346220792279
130,0.06439341712910918
131,-0.7480991569002939
132,-0.73290096664731
133,-1.1137576453801992
134,-0.5752888983197761
135,-1.203747151133645
136,0.5063686994879731
137,1.5237092611722254
138,-0.7916495007821119
139,-1.4635248599208164
140,-1.2927881453249352
141,-0.8202211190786941
142,0.13772721846658598
143,-1.4887452505422258
144,-1.7529182957686085
145,-1.8669853262230445
146,-1.2550798258812395
147,-1.1771004747940037
148,-0.3440557116387257
149,-0.739182884694985
150,-1.2201000286111021
151,-0.7133835624099456
152,-0.7265010363468047
153,-0.5233460516643296
154,-1.1359705789859715
155,0.4158415466988915
156,0.12647636051923206
157,-0.6364907760693035
158,0.2822212335142511
159,-1.3991495482895997
160,-1.3032671099222028
161,-0.18272893234033805
162,-0.35173097513376717
163,-1.4569595399392223
164,-1.0114133768995492
165,-0.24152752364156738
166,0.0714653982796476
167,-1.4579891657254493
168,-1.4772971838285365
169,-1.0058105628331415
170,-1.083804058870266
171,-0.685060954214225
172,-0.4926675048407736
173,-0.1683184378805137
174,0.23603782534703754
175,-0.9280312648168241
176,0.3450533862381294
177,0.5144326838341268
178,0.46568032029661444
179,0.023769830259785962
180,0.7146470055712413
181,0.3515482608503253
182,-0.7698465979842103
183,-0.6438468091961405
184,-0.8415886145954803
185,-0.7670774439573871
186,-0.5972647513968439
187,-0.7198886862093388
188,-0.8614830121058228
189,0.3388134309757289
190,0.08261371931213235
191,1.2052024409986761
192,-0.7710399470794578
193,0.1940468923289007
194,-0.3904354979732113
195,-0.0211305417515929
196,-0.683574621142212
197,-1.1363055164621596
198,-0.6007451053793524
199,0.3342398175520124
200,-1.0724669607553683
201,-0.8761605189594676
202,-0.4375506398856047
203,0.8240214977221043
204,1.3949337154954335
205,0.3368013736806492
206,0.5771775556576981
207,0.11347372931087973
208,-0.46637399760774034
209,-0.8528461103402999
210,-0.5531091067229759
211,0.43511465915347836
212,-0.11942193471445472
213,0.27226591475627626
214,0.09549326636277689
215,-0.031736669220798874
216,-1.0403925661277316
217,-1.2616828563789033
218,0.8579199765042276
219,-0.1274201444549865
220,1.5341504067868268
221,1.6144728086979736
222,0.9484551667057007
