,daily_cost
0,2.995165503638761
1,3.355619543313832
2,3.44227914911838
3,3.320140871323468
4,3.24109885298176
5,2.858230337368924
6,2.392536972609871
7,3.391918200924676
8,3.5476912272753545
9,3.5945120634992533
10,3.4979863389279924
11,3.5639122992823493
12,2.8370380152648536
13,2.524418413450806
14,3.4361283306879638
15,3.5969643344549818
16,3.5317206741352694
17,3.574966280930388
18,3.3986234196787217
19,2.7063637504849227
20,2.379606375603774
21,3.449972612809666
22,3.528011705516827
23,3.5867300851209856
24,3.6123692713345763
25,3.571482821941894
26,2.895110130087242
27,2.6147697001232855
28,3.5010006367333477
29,3.459543479503399
30,3.4905585962586665
31,3.5252953721659814
32,3.3454786299715327
33,2.797411938480757
34,2.4387413452954085
35,3.361650952628652
36,3.5606212572667024
37,3.5359104701700197
38,3.5693567417869327
39,3.5420440892126264
40,2.844781698897024
41,2.4780367023956655
42,3.6013323992978092
43,3.5158918707940874
44,3.411484700423809
45,3.456143064490144
46,3.3963355318625092
47,2.6425265951272023
48,2.442400296382475
49,3.5061518460760026
50,3.438557788043179
51,3.5705392887680416
52,3.5780214958512664
53,3.2641246523994685
54,2.6657043762735912
55,2.3048096586718643
56,3.1023141873343674
57,3.4303402032168195
58,3.4213864180494564
59,3.5600911072033234
60,3.2324835693069502
61,2.5379537453954732
62,2.43985373888801
63,3.2939224275330883
64,3.3938760705390876
65,3.5675557638042488
66,3.469785073309635
67,3.2370971335439145
68,2.6196284647349386
69,2.2746374485885257
70,3.095363262535332
71,3.1934019010276447
72,3.163862696841664
73,3.0962405399405513
74,3.1297149130177675
75,2.6705985842258184
76,2.6734874534300515
77,3.2808594870763637
78,3.220533668786552
79,3.345575448160574
80,3.213706072165694
81,3.226859168263715
82,2.4316060798745354
83,2.010947186012838
84,3.078770193278455
85,3.105499073226029
86,3.162071363589147
87,3.101240621020417
88,3.052880706796843
89,2.2895627143468764
90,1.9204310805001286
91,2.80999546805494
92,2.81486666834142
93,3.013186725416881
94,3.0882454905733567
95,2.9801374328840087
96,2.2604158780563584
97,1.9955744627288414
98,2.9746893180532745
99,2.984046782429048
100,3.113298234026492
101,2.9658812193921738
102,2.11103309775985
103,2.2672194482135053
104,1.915223647267367
105,1.9493422298546554
106,2.980807779724866
107,3.071031911954865
108,3.077993167885515
109,3.0965977109406526
110,2.4801187381023415
111,2.14938488207198
112,3.075077990273659
113,3.0999115898845577
114,3.086515630428642
115,3.0581213417870723
116,2.991891162076996
117,2.078671547407874
118,2.0529631417891068
119,2.0886446701888377
120,3.052051685282718
121,3.104227446507897
122,3.1639724452040072
123,2.904134107994004
124,2.2900603684060044
125,2.073245600897591
126,2.9167934253231933
127,2.8390508179689125
128,2.8409797750712276
129,2.884028603781722
130,2.835116964150309
131,2.2513943198460775
132,1.9353755574920886
133,2.801902598805375
134,2.991310745888489
135,3.0314938340551896
136,2.9804091920240197
137,2.863653833200152
138,2.2231126536469294
139,1.9201499193328821
140,2.7467848150185925
141,2.9365304570356265
142,2.890970035834474
143,2.0078497934983206
144,2.4643501570551187
145,2.2376635718899003
146,1.9725335930780306
147,2.861153903740904
148,2.90335797195258
149,2.8453451873835753
150,2.808353096813672
151,2.7852501767157376
152,2.1771637814959717
153,1.8152584661677982
154,1.8431308619842093
155,2.9150873297695106
156,3.1269414664926707
157,2.9162966322702397
158,2.9233851762063674
159,2.274027123154746
160,2.050884425413471
161,3.036147658196962
162,3.0209266778837263
163,2.7944544395140287
164,2.207548884621351
165,2.672455713164765
166,2.257006547766229
167,1.9783453380787348
168,2.873113971932289
169,2.993005368636627
170,2.932147608994696
171,3.029080938226877
172,2.9781500081839196
173,2.4052387058141567
174,2.069630378909519
175,2.842860338630821
176,2.8750719997262544
177,2.85543843081479
178,2.8851604215479005
179,2.9790555515218387
180,2.3629177805403225
181,2.017039977467159
182,2.8105657080481725
183,2.967023611062127
184,3.041745387634055
185,3.069404234675647
186,3.0286030194751214
187,2.4092381318275233
188,2.0608348902767566
189,3.0054271698196087
190,3.072243459103871
191,3.112920187750128
192,2.965374362208602
193,2.990325658680802
194,2.2904542530489205
195,2.0043569899131306
196,2.874819648057673
197,2.9960899416532287
198,3.0098643682276247
199,2.9070755056267505
200,2.836635972977182
201,2.2657599156501123
202,1.8956648957027005
203,2.7443487144790115
204,2.973092409582067
205,2.8627027809494305
206,2.962625397100567
207,2.7392673922586126
208,2.2027008916814275
209,1.9504368192688193
210,2.697296253385595
211,2.794305011114066
212,2.795515938781627
213,2.8856119416682904
214,2.7919962363091777
215,2.0830217062073206
216,1.7275234872935834
217,2.6311522577492976
218,2.8344477443877016
219,2.8723512966144953
220,2.789135062682601
221,2.6989362045006082
222,2.150504617168775
223,1.7726683485104187
224,2.566880774354341
225,2.633165108494863
226,2.745045217054226
227,2.8567573181479764
228,2.7963083493479006
229,2.1723267342015435
230,1.8642453714032174
231,2.674076420449534
232,2.6316426451090207
233,2.666457461625349
234,2.7861004625240167
235,2.687070601195005
236,2.046599322046224
237,1.7941502239114504
238,2.6263264792467123
239,2.764082042997275
240,2.785124481359629
241,2.6935344285959513
242,2.591291599735973
243,1.978943672502837
244,1.7430321404054636
245,2.683284670713572
246,2.846458494057468
247,2.9701991027025034
248,2.7578436189275704
249,2.991343677607591
250,2.2155406143526006
251,1.9096795918673268
252,2.966183719868055
253,3.0600382257165464
254,3.203092598150348
255,3.1517857246277097
256,2.8862702790823778
257,2.19518927553632
258,1.8688690671380654
259,2.8144694166289925
260,2.878846780650406
261,2.8610670588941076
262,2.8826481431963065
263,2.7904310410528206
264,2.1940370477321895
265,1.941890747973483
266,2.9146361091812447
267,2.9794767114927314
268,2.9993042704688793
269,3.007736445180122
270,2.9364161093356684
271,2.266816172978692
272,1.9277227131443486
273,2.736632099634608
274,2.297658909347091
275,2.9853841539229866
276,3.1480209074820227
277,3.115295254209239
278,2.539989130071943
279,2.1316383634694693
280,2.9275070831970424
281,3.145302258321456
282,3.22187490104446
283,3.092730619032213
284,3.004259901338937
285,2.2894582415220555
286,1.9829669027771035
287,2.9782011532926655
288,3.147016330525246
289,3.086022234537082
290,3.0741418818261512
291,3.078406962883964
292,2.347746165121918
293,2.2208890923955416
294,2.998950959692176
295,3.1329155941550146
296,3.1399668365418227
297,3.028239057977935
298,3.021574153823609
299,2.5440083189340075
300,2.365757662622683
301,2.7167172211343136
302,2.3746565139935076
303,2.7294561249551457
304,2.9456458081039076
305,2.9312302259970506
306,2.515628628989142
307,2.1865892715142223
308,3.0173060055889187
309,3.1585648016417194
310,3.1098553973754988
311,3.0998587353213276
312,3.2681393618615733
313,2.699939989325544
314,2.3446714951853735
315,3.140340594988571
316,3.1970403635136497
317,2.97518811016842
318,3.276764312887363
319,3.1946429516585333
320,2.7409714998800445
321,2.421184181619137
322,3.3511658757473826
323,3.3727055968791695
324,3.32865521227383
325,3.5111507595900164
326,3.3161914567150172
327,2.676410968083701
328,2.627019673550113
329,3.685195399773174
330,3.5362287641727344
331,3.2996976417966075
332,3.348904856555054
333,3.209322520757673
334,2.7214014793039163
335,2.61441202792992
336,3.612593526214168
337,3.638663670997687
338,3.5205354708098198
339,3.7512217672561765
340,3.617444898991163
341,3.0597982137641466
342,2.8332646839603584
343,3.60646731762129
344,3.7073819940933843
345,3.7569585927556863
346,3.708702605559605
347,3.3473150981859376
348,2.808216272400332
349,2.6058905823825915
350,3.434725096559797
351,3.3762731941266972
352,3.21985178959401
353,3.18575561335885
354,2.8966783552903133
355,2.4591440596567002
356,2.081332133482873
357,1.9664927420976328
358,2.1505221861275827
359,2.480599894366457
