,daily_cost
0,2.510275719081722
1,2.6278865127574473
2,2.682475202286962
3,2.6570296406698217
4,2.67264002719635
5,2.4021831295781064
6,2.2371928694911696
7,2.7530272838074787
8,2.804260985236003
9,2.8498316661717085
10,2.773470742134832
11,2.745161481505789
12,2.4049848700763774
13,2.2034806004537506
14,2.713425103361546
15,2.802752315316658
16,2.8091637358587334
17,2.8329739484289926
18,2.741589159799065
19,2.4057989488268867
20,2.2245699708189712
21,2.831320604494346
22,2.885623816044013
23,2.8582662448197493
24,2.9069914667167307
25,2.863999640668205
26,2.545079614827065
27,2.3852524223575395
28,2.8626541900926625
29,2.903693670256079
30,2.940066331984241
31,2.9402978290709343
32,2.875939640324447
33,2.553778132162437
34,2.356423428803087
35,2.8426878041201884
36,2.9302092401156474
37,2.9420452880028622
38,2.9546714002498455
39,2.9345268665850517
40,2.5773952776459486
41,2.4023187953103684
42,2.8726077349178487
43,2.9092427617703276
44,2.8828222998691895
45,2.8975712362822468
46,2.869103696609225
47,2.4972520981428277
48,2.3572259219072285
49,2.884799015480925
50,2.9118542279145405
51,2.963365486725832
52,2.977222747797005
53,2.8525844207437094
54,2.5239503115890516
55,2.3619324441791445
56,2.8359159721409446
57,2.8900592585083826
58,2.89198126653209
59,2.9195128067175378
60,2.796641431644112
61,2.5422553859030304
62,2.3428974463393106
63,2.7678020197735105
64,2.8295847538296357
65,2.8437197094224946
66,2.81690717914435
67,2.720887981633608
68,2.4095207472385574
69,2.2509706691644786
70,2.7046558294149214
71,2.7760959287683153
72,2.761857734905801
73,2.734365649727653
74,2.804974718358307
75,2.513845916313431
76,2.3250357345980515
77,2.7983720385125697
78,2.8236365489567836
79,2.75197784216093
80,2.743972447052814
81,2.7009104996619597
82,2.36512044609321
83,2.133110426399663
84,2.6298935492649504
85,2.7181607419688634
86,2.7647069419631234
87,2.7363588290782355
88,2.697537313556802
89,2.350789741428835
90,2.1449242785183875
91,2.629858138206216
92,2.6909149940988506
93,2.7316998030552346
94,2.734927739727166
95,2.667425772832276
96,2.3435716712010612
97,2.130371910240194
98,2.6481547146201265
99,2.6973485062592433
100,2.731374375236953
101,2.597492348993103
102,2.1319901810150816
103,2.1977052066372176
104,2.0865215606509198
105,2.155145220664923
106,2.647654116107901
107,2.702834526596709
108,2.6702180672397673
109,2.6446958317735056
110,2.3370801450381076
111,2.115628178979435
112,2.620992090369662
113,2.681050231876358
114,2.6529415211234006
115,2.6579242355154165
116,2.6246294517385675
