,daily_cost
0,2.2724156701617284
1,2.4461890123290084
2,2.6533512553566907
3,2.097905476012269
4,1.8464536358911638
5,2.3043035222203714
6,1.9950187831675685
7,2.881603713262053
8,2.997456236339655
9,3.186369614153828
10,2.8055116543697562
11,2.667766257624178
12,2.106763382758185
13,1.4683692218592093
14,2.269084829593884
15,2.4301013736122443
16,2.428800990654365
17,2.2059791722850015
18,1.760782247394121
19,0.9874138169814208
20,0.5405316264495323
21,2.339939783929692
22,2.665219483144887
23,2.361092777204627
24,2.139637636665946
25,1.7628293731712965
26,1.2478496655120406
27,1.4961545283310684
28,3.1191839758045754
29,3.0015110902873796
30,2.4676377418773052
31,2.1635562981027583
32,2.750120316005709
33,1.4781703248736684
34,1.375305275926641
35,2.6006214439383952
36,2.7854079752689653
37,2.3271003107068813
38,2.0485650909504614
39,2.2932973335990967
40,1.6097955885341855
41,1.4018634648117558
42,1.2140706945175055
43,0.5033456523139512
44,0.503185169278558
45,1.5820710678813925
46,2.68181220369506
47,1.273493193537763
48,0.8581733608699182
49,2.9003483591476713
50,2.720043735267065
51,3.1396319181181176
52,1.405703336229285
53,1.1850360632562045
54,0.49304852135497246
55,1.0935097949692447
56,1.7120707077995452
57,1.7525920022596986
58,1.6187263044756297
59,1.169644243797935
60,1.2613130127560335
61,0.16429936622920005
62,0.03790299097166949
63,1.628300509457266
64,1.9686475901702694
65,2.4141269296987256
66,2.126648961263789
67,-0.2501425078344335
68,-1.4859566850868848
69,-2.0030397254688297
70,-1.1703716539827873
71,-0.1800215240818681
72,0.4343785464098624
73,-1.44933478268555
74,0.5042190502831554
75,2.177129359848931
76,1.581412863655503
77,1.8343347243030206
78,0.7724073084604526
79,-0.172023456724256
80,-0.5765615383182845
81,-1.155459868926727
82,-2.693257938551902
83,-2.4439872633784203
84,-2.6920739999012593
85,-2.120157504983257
86,-0.06958561357348447
87,-0.9998727596442811
88,-2.265749800132303
89,-1.4730439162132853
90,-2.2723523480403403
91,-1.2380401973059496
92,-1.8917741961874799
93,-0.24875909851689748
94,0.07052288710588028
95,0.33477055508573894
96,-1.3536352801331275
97,-4.040031132040816
98,-1.0182610212302814
99,-0.7922388361253132
100,-0.5259301449000486
101,-0.20061514244600165
102,-1.245993482105776
103,-0.4688440639024152
104,-0.6328107937062741
105,-1.5602975040119462
106,-1.7993909293705008
107,-1.5381090915750035
108,-2.6222560983477634
109,-0.7841099056232972
110,-0.794337540605472
111,-2.073548023815327
112,-2.0523345911923405
113,-0.5218560329428721
114,-1.3611381332908188
115,-1.6351303832060489
116,-0.6846532087979118
117,-2.6881281981533505
118,-4.392048706639901
119,-0.21697376355303621
120,-0.07293297831141077
121,-0.5117842157704007
122,0.31663486744876135
123,0.007859197357783287
124,-2.350117293398574
125,-0.5472790032712229
126,0.5172411963574479
127,-2.3562040817937384
128,-3.3712317154337907
129,-1.645843467651117
130,-0.8441134009885594
131,-2.5096327642677374
132,-3.0471489799002893
133,-3.1802675623392513
134,-2.148885702853119
135,-3.4977713805530244
136,-0.3095611432389318
137,0.4651134831926962
138,-3.2297846021246324
139,-3.954918132722154
140,-3.3716050896132566
141,-3.1147599471655694
142,-1.6644710885938814
143,-3.62800487611401
144,-4.597467032211121
145,-5.067104121696622
146,-4.050540081142033
147,-3.7419581069216026
148,-2.713691424989876
149,-2.8996208138814645
150,-3.8492400257959845
151,-3.012555624852584
152,-2.658536051346455
153,-2.8468549871259157
154,-3.449082407310585
155,-0.7232405109016229
156,-1.9432076588793237
157,-2.508034827794563
158,-1.1017082112400542
159,-3.9828395672435066
160,-4.166272308353877
161,-2.322321383266341
162,-2.6228620862812546
163,-4.273710437110922
164,-3.695124789033641
165,-2.3087554834075794
166,-1.5300741209826745
167,-3.9947928324062567
168,-4.42230185697426
169,-3.869080437421106
170,-3.9340867770760246
171,-3.362036978803461
172,-2.739711688668884
173,-2.138904444404569
174,-1.2446425731602693
175,-3.0048413762059423
176,-1.3218589674094674
177,-0.43106760703891744
178,-0.34248659634603973
179,-1.850213987356657
180,0.07954691861896013
181,-0.9545709916738043
182,-2.898425498281272
183,-2.8127291177630633
184,-3.142703153359742
185,-3.8712089827658898
186,-3.15856541650624
187,-2.9715494920858716
188,-3.484684054113655
189,-0.9363387219011821
190,-1.6160044235023605
191,0.3550960839499342
192,-3.517505510243352
193,-2.0594232891045086
194,-2.523286066624582
195,-0.966960731122211
196,-2.404277940402727
197,-3.8606526853820315
198,-3.117762260657687
199,-1.4617708070039948
200,-3.381847897386608
201,-3.2000823923491932
202,-2.928442892761653
203,0.5192310522755248
204,1.1495793623981219
205,-1.3810949588140726
206,-0.23991452536004942
207,-1.6750579308995879
208,-2.007023196051616
209,-3.3881460375057793
210,-2.7121486906006904
211,-1.1300426021716716
212,-2.003014982743171
213,-1.3219558177764408
214,-1.548008353256387
215,-1.8167509288176737
216,-3.3470758409727974
217,-4.0234371661882005
218,-0.454270782454274
219,-2.373999680973036
220,0.5958344931374944
221,0.9457246613361221
222,0.6411546706136617
223,-2.448426020420853
224,-2.55454231145517
225,-1.9211849274936625
226,-2.6447850195373968
227,-1.1263247822446134
228,0.22569502602402336
229,-2.5029889676152783
230,-3.044653931988996
231,-1.664747336708397
232,-2.6733384759209904
233,-2.859333960973966
234,-1.7716789899243341
235,-2.121828949915601
236,-2.594918243515595
237,-2.4245775229643947
238,-2.6750039168263697
239,-3.067263153352633
240,-1.542502569187835
241,1.148236809443595
242,-0.9113279947259159
243,-1.8241615842227215
244,-2.8885035377390347
245,-2.5786852772564566
246,-0.26352150252911954
247,-0.044557996546682244
248,-0.0222533605774351
249,0.9133217946500976
250,0.13952721509332422
251,-1.9085799155396699
252,-0.36176639028798796
253,-0.4567559226542115
254,0.4687395254037936
255,0.4587187032477331
256,-0.5745346943008647
257,-1.0925051714684502
258,-1.5707762340718228
259,-0.2076087585752866
260,0.3248054173424926
261,0.364006972286381
262,-1.4399646031310773
263,-0.9068754993594879
264,-1.3740583691717303
265,-1.1760021092582904
266,-0.5218417243960909
267,-0.47684928490104506
268,-0.9192173947305227
269,1.0323372996452087
270,0.38911542234299956
271,1.0170497026907581
272,-1.1058959827034025
273,1.6975400081407206
274,-0.43531377806248095
275,0.5694838497806951
276,1.3059259737677444
277,0.8071542178428537
278,1.3180260754164612
279,0.5484250790456278
280,1.5824425800469983
281,2.084253139240504
282,1.1871323530132623
283,0.7115375804071546
284,0.43815426835663907
285,-0.8037360759099417
286,-1.4710197755567247
287,-0.45377432216340585
288,-0.2584646341654069
289,-0.15763376235894322
290,0.008373678658094352
291,1.1948002456257276
292,1.3573875181441748
293,1.250314241790778
294,2.1754512586714103
295,2.6841541207950814
296,1.7952365374582178
297,1.3398570046482823
298,1.1144468888543457
299,1.5317708059375787
300,0.6850557002151376
301,0.9190346550042925
302,1.0440828584438027
303,0.45797486912033536
304,1.5371565217465593
305,1.7613235095553028
306,0.6552507057439181
307,1.4852976638688866
308,1.6186428923281573
309,1.792015174832282
310,2.729498104315948
311,2.4381770327690577
312,2.826459620346879
313,2.143355372208821
314,1.8750620330048982
315,1.8473114377701412
316,2.2421762498405036
317,2.187344526409133
318,2.4073611682823257
319,2.0123978702482086
320,1.78466784990297
321,1.2036264458173522
322,2.950398701368622
323,3.180372283574628
324,2.073701658299411
325,2.315054923721905
326,2.604028677011269
327,2.0323016922147072
328,1.5688051907020717
329,2.993395017109507
330,2.695607799725319
331,2.7567865338717965
332,3.082958088501901
333,2.7873384579979987
334,1.9153057663142175
335,2.254454132861614
336,3.2242800585000895
337,3.1281799096958585
338,3.051383189017405
339,2.5447142656521233
340,2.904141037385134
341,2.311833439361506
342,2.5641485110223288
343,3.3601050798395216
344,3.169935216375619
345,3.164668883621811
346,3.0645089811603987
347,2.8056755810722596
348,2.1739250465381943
349,1.883725775005113
350,3.0205435074361686
351,3.0730348873039603
352,3.1274412286726996
353,3.070330566388414
354,2.843208726983276
355,2.1608054830740313
356,1.6953714703562586
357,1.1444758353666047
358,1.0520852280348252
359,2.192288240548481
